날짜,제목,글쓴이,조회,공감,비공감
2022.06.29 15:53,궁금해서 그러는데,mari****,13,3,0
2022.06.29 15:45,개사기주식,hsok****,13,2,0
2022.06.29 14:52,울 예쁜 구길이!!,inve****,54,5,0
2022.06.29 13:48,"도지캔들 나온거 같은데
				[1]",sach****,142,3,4
2022.06.29 12:54,전환가액 조정,aiii****,149,4,0
2022.06.29 12:44,"아직 까지 해인받때 주문외우는지..
				[2]",frie****,187,10,3
2022.06.29 12:19,오늘도,aa97****,80,4,1
2022.06.29 12:11,밑에 내가 쓴 글 봐라,eam0****,135,2,3
2022.06.29 11:40,부지불식간이라는 단어에 혹하지마라,mmkk****,140,7,1
2022.06.29 10:37,"음  ?층한찬티들 이젠 좀정신차린거  가...
				[3]",wkwj****,113,6,6
2022.06.29 10:31,"자! 날아가자!
				[1]",aqz7****,135,5,7
2022.06.29 10:20,제2의 국일제지 폭등신화 신화인터텍 국일...,iter****,116,4,1
2022.06.29 10:09,그래핀개나소나 다만드는거 ㅋㅋ,joeu****,105,6,4
2022.06.29 10:06,"그래바라
				[1]",park****,121,6,6
2022.06.29 10:05,동전주가 이정도면 됐지 ㅋ,theo****,73,5,3
2022.06.29 10:03,느낌이 작전 초입같은데,bohe****,108,3,5
2022.06.29 09:57,새로이,bbin****,110,3,3
2022.06.29 09:55,아직도 찬티가 간간히 보이는데,pys2****,78,5,2
2022.06.29 09:26,ㅋㅋ ㅋㅋ,theo****,103,3,3
2022.06.29 09:25,삼성전자 3나노 반도체 생산시작,kore****,162,5,8
2022.06.29 09:20,7회차 리픽싱 공시는 언제뜨나? 낼뜨나?,mmkk****,95,2,4
2022.06.29 09:20,100프로 동전주 간다 조심 해라 또 속...,jcu0****,75,4,2
2022.06.29 09:16,개미 호구 새끼 어제 기회 줄때팔아서야지,jcu0****,78,4,1
2022.06.29 09:16,코스피 2000까지 간다,airb****,66,2,3
2022.06.29 09:15,머하는 회사인지 양치기도 아니고..,scie****,64,5,1
2022.06.29 09:14,시원하게 천원가자 ㅋㅋㅋㅋ,dbdl****,68,5,4
2022.06.29 09:11,"them,?",aqz7****,71,2,6
2022.06.29 09:11,"상식적으로 이딴 종목을 왜 사???
				[2]",koon****,93,9,3
2022.06.29 09:03,꽃 집에서 왔어요,them****,73,5,2
2022.06.29 08:58,또 한탕 해먹고 가셧나요 ㅋㅋ,dbdl****,81,4,3
2022.06.29 08:56,이재용이,rufg****,62,0,5
2022.06.29 08:36,국일제지 축하드립니다,kyun****,153,3,4
2022.06.29 08:31,협회에서 드리는 말씀,them****,122,5,4
2022.06.29 08:28,엠바고라 했냐 안했냐,afte****,64,1,7
2022.06.29 07:11,"작전주라는 건 알테고
				[1]",eam0****,237,5,10
2022.06.29 07:07,"모태찌질이 쿤!,
				[2]",aqz7****,122,6,8
2022.06.29 07:03,"국일제지주주여 종이도 인플레수혜주 주도주...
				[1]",aaaa****,74,0,5
2022.06.29 05:07,"전세계 인플레이션 공포
				[1]",aiii****,146,7,3
2022.06.29 04:26,와~!   나스탁 폭락이다,them****,132,5,4
2022.06.29 02:43,옛 영광의 주역 국일제지,park****,214,2,8
2022.06.29 01:15,현시각 미증시 개폭락중...,hara****,172,4,1
2022.06.29 01:01,전사,gusg****,103,0,3
2022.06.28 23:43,발동기 달달달?,cjsg****,105,0,3
2022.06.28 23:31,아직도 이러고 있네,arie****,90,7,0
2022.06.28 22:56,"그래핀 같은 소리 하고 자빠졌네
				[2]",koon****,172,6,7
2022.06.28 22:42,"자 모지리들아
				[1]",007t****,211,1,6
2022.06.28 21:46,"온다고~~~이멍청아 회사관계자가 전하잖아
				[2]",poiu****,341,18,8
2022.06.28 21:22,"담배 공급지위& 펠리클 방문일정이 다음달...
				[2]",poiu****,340,9,9
2022.06.28 21:15,"[대박이터짐]글로벌기업: 7월중순에서 ~...
				[1]",poiu****,331,11,8
2022.06.28 20:53,그래핀 최고 기술 기업,bub1****,121,1,1
2022.06.28 20:27,"글로벌기업
				[1]",qudr****,216,12,1
2022.06.28 19:06,제2의 국일제지 폭등신화  신화인터텍  ...,iter****,187,0,2
2022.06.28 17:03,"국일의고수란?
				[2]",aqz7****,359,10,13
