날짜,제목,글쓴이,조회,공감,비공감
2022.06.25 14:19,"아세아제지주주여 반등이 아닌 신고점돌파주...
				[1]",dlek****,564,3,4
2022.06.24 20:00,"주주환원 정책
				[1]",wrho****,433,27,1
2022.06.23 15:49,"중국 홍수로 원지부족 !
				[1]",jinh****,472,5,1
2022.06.23 13:28,"제2의
				[1]",cafe****,395,3,0
2022.06.21 22:15,"주식회사 맞나요?
				[2]",wrho****,593,19,1
2022.06.21 16:24,"손절
				[3]",yang****,480,16,2
2022.06.21 15:08,"아세아는 자사주취득
				[2]",yeon****,460,2,0
2022.06.21 14:24,"이 와중에 혼자 파란색
				[2]",skwi****,234,12,0
2022.06.21 10:10,"작년 주당이익 10160원 !
				[6]",jinh****,489,15,0
2022.06.21 09:41,"내년도 배당 600원 예상~
				[1]",yyjk****,258,2,0
2022.06.20 21:41,아세아제지주주여 누가 저평가?,kkkk****,223,1,4
2022.06.21 09:09,아세아제지주주여 누가 저평가?,ls66****,83,3,0
2022.06.18 22:49,누가 저평가? 종이 제지의 친환경소재로 ...,dlek****,384,2,4
2022.06.17 18:24,"자 골판지도 가보자...
				[1]",csj_****,520,3,2
2022.06.17 13:45,"폭등ㄷㄷ
				[4]",dkss****,673,1,1
2022.06.16 19:30,"이렇게된이상
				[2]",ahr1****,441,7,4
2022.06.16 18:34,배당 2%대로 올려야 함.,gaut****,179,0,1
2022.06.16 14:48,"진짜 너무하네.
				[5]",wwws****,422,4,0
2022.06.16 00:00,"3.5 맞췄습니다...
				[7]",rlat****,558,2,3
2022.06.15 14:32,이쯤이면 물리면서 사도 될듯,kebe****,310,9,2
2022.06.15 13:54,"귀신같이
				[1]",cafe****,259,1,0
2022.06.15 09:15,"주가가 제가치 못찾는 이유가 대주주 리스...
				[7]",erne****,552,5,10
2022.06.14 11:06,"과매도구간이긴 하네.
				[23]",much****,804,1,1
2022.06.14 10:04,"아직도 멀쩡한가요??
				[1]",erne****,183,0,2
2022.06.13 17:08,개싸졌네,kebe****,228,2,2
2022.06.13 16:23,3분기 실적은,lbhg****,236,3,3
2022.06.13 12:18,"12월말부터
				[1]",lbhg****,281,0,3
2022.06.13 11:10,"은행이자율도 안나오는 배당 준다고 주주들...
				[1]",erne****,322,8,0
2022.06.13 10:46,KOCC 고지값 내렸다,lbhg****,311,6,0
2022.06.13 09:14,"이럴때 자사주 매입이라도 해야되는거 아니...
				[1]",erne****,316,7,2
2022.06.11 20:25,1분기 실적 (21년 vs 22년),rpfl****,602,17,3
2022.06.11 08:14,"시장이 완전 맛이 갔네요ㅠ
				[1]",nugu****,372,5,0
2022.06.10 14:57,"가치투자
				[6]",grpr****,487,5,4
2022.06.10 14:29,"주담 통화 안되는데요
				[1]",cide****,315,4,0
2022.06.10 12:21,누가 금판지라고 말한건지 ㅎㅎ,vipa****,217,3,0
2022.06.10 10:42,"얘는 왜 맨날 내리기만 하나요?
				[8]",cide****,400,3,0
2022.06.10 10:14,"검찰조사도 받고 세무조사도 받자
				[3]",erne****,381,20,2
2022.06.10 10:08,남들이 보면 그동안 거품 겁나게 낀 회사...,erne****,181,1,1
2022.06.09 20:12,아세아?,rive****,187,0,1
2022.06.09 19:42,"여기도 악성 안티들 많네
				[2]",kim9****,211,2,1
2022.06.09 18:52,"아세아 그룹 대주주들이 유난히 욕먹는 이...
				[2]",erne****,238,4,4
