날짜,제목,글쓴이,조회,공감,비공감
2022.06.29 14:50,아득하다,leed****,35,2,0
2022.06.29 14:44,*♥일생일대 최대의기회를 잡짜~!!!++...,ehdu****,40,2,0
2022.06.28 15:48,"이 종목은 왜이래요?
				[2]",hhww****,299,5,1
2022.06.28 14:06,"이건 뭐 코쟁이 단타 놀이터도 아니고 ㅅ...
				[1]",taxi****,168,3,0
2022.06.28 11:43,이회사는 남들 떨어질때 떨어지면,sira****,190,4,0
2022.06.28 12:01,"이회사는 남들 떨어질때 떨어지면
				[1]",8912****,177,0,2
2022.06.25 14:44,해성산업주주여 반등과 신고점돌파주식의 조...,dlek****,494,1,5
2022.06.24 15:16,"코스닥 5프로 오르는데 3프로 ㅋㅋ
				[1]",hopa****,382,6,0
2022.06.24 09:49,"이 주식은 기업문화와 관계가 있어요
				[6]",h-do****,699,17,0
2022.06.23 23:11,아랑수랑,yths****,183,0,0
2022.06.23 12:18,단고자,colo****,181,2,0
2022.06.23 11:27,입성,youn****,161,0,5
2022.06.23 09:47,뉴스도 나왔었네,hopa****,385,9,0
2022.06.23 09:38,진짜 한결같이빠지네,jeff****,177,2,0
2022.06.22 17:10,시외보니 내일은 만원 깨지겠네 ㅋㅋ,hopa****,196,7,0
2022.06.22 16:07,단 고자씨~~,colo****,127,1,0
2022.06.22 13:09,"♥♥{{10000주}}~!!!#!!!++...
				[3]",ehdu****,219,1,2
2022.06.22 12:37,그새낀 코로나도 안걸렷나 하...,hopa****,143,4,0
2022.06.22 11:51,"곧 1만 밑으로 감니다
				[2]",babo****,223,3,1
2022.06.22 11:28,"이거 왜 다른지주사들보다 더 떨어지죠..
				[1]",sira****,211,2,0
2022.06.22 10:28,♥♥거래량.개쩌네.ㅎㅎ,ehdu****,139,1,0
2022.06.22 10:02,"☆☆52주최저가에요~♡♡
				[1]",ehdu****,176,1,0
2022.06.21 09:55,오늘 거래 창구…,dyse****,318,5,2
2022.06.21 09:26,"김진표 확정되면 오르려나
				[1]",hopa****,317,2,1
2022.06.21 01:21,배당이라도 많이주면 그러려니하는데,lovi****,328,5,0
2022.06.20 21:43,해성산업주주여 누가 저평가?,kkkk****,205,0,1
2022.06.20 19:09,"삥 뜯기 과하게 한 주가
				[1]",rcu3****,191,2,0
2022.06.20 10:08,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
				[1]",toma****,312,3,1
2022.06.20 09:24,지주사에 자산주가 남들과 똑같이 떨어지네...,sira****,229,3,0
2022.06.19 21:57,해성산업주주여 종이 제지도 인플레수혜주이...,kkkk****,246,1,2
