날짜,제목,글쓴이,조회,공감,비공감
2022.06.29 15:51,주가 뛸 모양새 를 갖추다 !,ljk9****,13,1,0
2022.06.29 14:42,"아래 분석글이 맞습니다 시총이 일단 말이...
				[1]",dkfm****,64,1,2
2022.06.29 14:31,무조림귀한,mays****,39,0,0
2022.06.29 14:25,내가 무림 지존이다,mays****,32,1,0
2022.06.29 13:19,"이자 발생 부채가 매출액 보다많으니
				[2]",djj5****,95,1,1
2022.06.29 13:12,"전부들 쳐물려 찬티
				[4]",djj5****,102,0,3
2022.06.29 13:05,무림P&P 목표주가,joki****,69,1,3
2022.06.29 11:39,펄프값 폭등관련 기사들이 이제 쏟아져나올...,dkfm****,67,0,1
2022.06.29 08:02,"적정 주가 추정
				[2]",ljk9****,209,8,1
2022.06.29 06:57,어떻게든 15천원 갑니다,aaaa****,127,1,0
2022.06.29 07:35,어떻게든 15천원 갑니다,psk8****,41,0,0
2022.06.28 21:14,"주주여
				[1]",kkkk****,73,1,0
2022.06.28 18:42,"3700원대 3중 바닥
				[1]",ljk9****,147,4,2
2022.06.28 17:47,낼부터 7연속상한가?,kkkk****,96,1,0
2022.06.28 16:50,낼 3천원 시작 상치는 이유?,aaaa****,72,0,0
2022.06.28 14:27,"3980에 8천주 야무지게 잡았습니다 글...
				[2]",dkfm****,232,0,0
2022.06.28 12:48,무조림,mays****,77,0,0
2022.06.28 11:06,3980에 7천주매수대기중 누가좀 던져주...,dkfm****,101,0,1
2022.06.28 10:58,베팅기회 지금입니까??? 지굼이니!!! ...,dkfm****,98,0,1
2022.06.28 09:26,무조림,mays****,82,0,0
2022.06.28 09:05,"다음 피뢰침은  7월 25일
				[1]",hkse****,161,0,0
2022.06.27 21:33,"무림이 상한가가는 이유 대호재발생
				[1]",kkkk****,175,0,1
2022.06.27 17:45,내일 상한가 왜?,aaaa****,140,1,1
2022.06.27 14:39,"어제의 피뢰침
				[6]",ljk9****,386,5,3
2022.06.27 13:39,상한가,aaaa****,146,0,1
2022.06.27 13:33,양아치3끼들은,ls46****,155,2,0
2022.06.27 13:12,무조림,mays****,97,0,0
2022.06.27 12:27,무조림이야,mays****,101,0,0
2022.06.27 11:06,캬하하하,mays****,117,0,0
2022.06.27 10:29,"것봐 내가 4천원은 한번 준다고 했?아
				[1]",hkse****,159,0,0
2022.06.27 09:40,무우림,mays****,115,0,0
2022.06.27 09:36,무림이는,osan****,165,1,0
2022.06.27 09:34,무조림,mays****,103,0,0
2022.06.27 09:23,므우림,mays****,103,0,0
2022.06.27 09:22,한번더 말하지만...,m1ca****,133,0,0
2022.06.27 09:12,무림용사들이여,mays****,107,0,0
2022.06.26 14:02,6개월 참아봅시다,mine****,242,1,0
2022.06.25 15:30,"부채보소
				[2]",smbe****,360,2,2
2022.06.25 13:02,"미국증시 대폭등:무림은 신소재로 혁신하여...
				[1]",dlek****,332,4,0
2022.06.25 01:18,이종목에는 유달리,ls46****,232,0,0
2022.06.24 15:48,"설거지로 보기 힘든데 무슨 설거지요?
				[2]",lhs5****,589,6,3
2022.06.24 15:46,"매집인가요?
				[1]",asds****,366,0,4
2022.06.24 15:33,"조금 물렷다가
				[1]",lmhy****,235,4,1
2022.06.24 14:49,1년에 한 번씩 탈출 기회 줌,mcpa****,194,2,1
2022.06.24 14:27,"무림피앤피 적정가는 4000원
				[1]",land****,260,3,2
2022.06.24 14:14,"종가맞추기
				[1]",hkse****,223,0,1
2022.06.24 14:08,"낚였다
				[1]",zpfx****,270,4,0
2022.06.24 14:00,"오늘같은날 손실보신분?
				[2]",ove3****,332,0,4
2022.06.24 13:59,하앙하앙,hkse****,129,0,0
2022.06.24 13:57,물림p&p에 새로 오신 분들 환영합니다,sabj****,177,1,0
2022.06.24 13:56,핸들링..,siwo****,125,0,0
2022.06.24 13:55,종이에 깔려죽으라는 계시,thie****,120,0,0
2022.06.24 13:54,시세 끝,ove3****,118,0,0
2022.06.24 13:54,당가의 독이 퍼진다,khs8****,113,0,0
2022.06.24 13:52,?!!!,hkse****,103,0,0
2022.06.24 13:49,환골탈퇴 중 입니다,khs8****,126,0,0
2022.06.24 13:47,무우림,mays****,107,0,0
2022.06.24 13:34,"잘먹고갑니다
				[1]",mc82****,201,1,2
2022.06.24 12:54,"오늘지 내릴지 모르지만.
				[1]",tcpz****,213,3,2
2022.06.24 09:41,"4퍼 빠지고 2퍼 오프고
				[2]",jhyu****,187,1,1
2022.06.24 09:30,4000한번주라,hkse****,159,1,0
2022.06.23 20:16,"무림그룹은 도약했다.고로 신고점간다
				[2]",kkkk****,199,0,2
2022.06.23 18:44,코스피 1퍼 빠지면,jhyu****,117,2,0
2022.06.23 16:35,"펄프 반년 만에 50% 뛰어 '사상 최고...
				[5]",sant****,398,2,1
2022.06.23 12:18,펄프가격 꺽인거지?,mist****,352,7,2
2022.06.23 11:49,"무림은 도약했다.내일 상한가갑니다.즐투
				[1]",aaaa****,191,2,0
2022.06.23 11:42,"평단 4005원
				[4]",hkse****,248,2,3
2022.06.22 22:27,"내일 상한가 왜?
				[1]",kkkk****,223,0,0
2022.06.22 19:20,무림그룹주들  2분기실적 대박,aaaa****,192,4,2
2022.06.22 17:36,내일 상한가 왜? 현대사료 상한가보니,aaaa****,98,0,0
2022.06.22 15:40,무림,wolm****,146,1,1
2022.06.22 11:23,급등 왜?,aaaa****,150,0,0
2022.06.22 11:07,코스피가,unlo****,117,0,1
2022.06.22 09:28,제발염 ㅜㅌ ㅜ,ll93****,139,0,1
2022.06.22 09:23,접지전사 가드아,mays****,105,0,1
2022.06.22 09:18,우리 무림,mays****,104,0,1
2022.06.22 09:14,가즈아 용사들이여,mays****,91,0,1
2022.06.22 09:06,무림 용사들이여,mays****,99,0,0
2022.06.22 06:44,"무림의 도약.오늘 무림페이퍼 상한가
				[1]",aaaa****,200,1,0
2022.06.21 21:12,무림그룹의 도약,kkkk****,161,0,0
2022.06.21 20:31,"펄프 가격 적용 질문 드립니다.
				[2]",batt****,240,1,0
2022.06.21 18:57,"쓰리바닥
				[1]",unlo****,150,7,1
2022.06.21 16:47,"낼부터 연속상한가..
				[2]",kkkk****,168,0,1
2022.06.21 10:19,"6월 펄프가격 970
				[2]",91ok****,547,9,2
2022.06.21 09:23,매도자도 없구만 왜이리 지질끄냐?,jinj****,147,0,1
2022.06.21 07:32,"국제 펄프가격 좀 알려주세요
				[2]",esto****,468,0,0
2022.06.21 06:04,글로벌증시 급등보니 무림피앤피 상승,aaaa****,248,2,0
2022.06.20 23:19,제가 그동안 걱정되서 글 올렸었는데,dddw****,172,0,0
2022.06.20 21:05,"내일 상한가가는 이유
				[1]",kkkk****,176,0,1
2022.06.20 18:58,"대호재발생 내일 상한가
				[1]",aaaa****,173,1,3
2022.06.20 18:44,무림은 도약하고 있다.낼 상한가 왜?,aaaa****,95,0,0
2022.06.20 15:36,"배당을 높여라!!!!!
				[1]",deuk****,227,5,1
2022.06.20 15:08,"속보
				[2]",wolm****,385,0,6
2022.06.20 14:47,"KCC, 무림P&P와 업무협약…친환경 수...",sant****,192,5,2
2022.06.20 12:30,"종이 식량 유가는 인플레수혜주.레몬 고려...
				[1]",aaaa****,212,0,1
2022.06.20 12:00,"펄프가격이 계속 유지해줘야 함
				[4]",gaes****,294,2,0
2022.06.20 11:23,"오늘 6월 펄프가격 발표일
				[2]",91ok****,467,1,1
2022.06.19 21:03,"인플레시대에 종이도 수혜주.내일 상한가
				[2]",kkkk****,238,1,1
2022.06.19 13:19,실적발표 언제해?,ww89****,173,0,1
2022.06.18 23:29,"무림그룹의 도약:종이가 친환경소재로 변신...
				[1]",dlek****,251,0,2
2022.06.18 19:30,무림페이퍼만 독자적으로 상승한다 왜?,aaaa****,162,0,0
2022.06.18 17:13,ㅋ ㅋ,wolm****,185,1,1
2022.06.17 20:43,피트렌치가 말한 50루타 주식이다,kkkk****,250,4,3
2022.06.17 12:47,"연기금
				[1]",unlo****,326,3,1
2022.06.17 11:14,"누가 저평가? 상한가
				[1]",aaaa****,180,0,2
2022.06.17 08:49,"한솔제지는 50원 상승 시작..투매하면 ...
				[2]",aaaa****,212,2,0
2022.06.17 06:51,"누가 저평가?
				[1]",kkkk****,157,1,1
2022.06.16 22:29,"종이 펄프도 인플레이션 수혜주이다
				[4]",kkkk****,239,1,2
2022.06.16 14:37,"에라이 씨발
				[2]",0605****,390,7,1
2022.06.16 11:55,"오랜만에 재진입...
				[3]",m1ca****,424,0,8
2022.06.16 10:36,"누가 한강물 온도좀 봐줘 한강 가야 하는...
				[1]",jinj****,227,5,2
2022.06.16 00:29,강제 장투모드로 되부렀네,jhyu****,219,1,0
2022.06.15 22:28,내일 무림그룹중 무림페이퍼 상한가,aaaa****,155,0,0
2022.06.15 17:44,내일 급등 왜?,aaaa****,170,2,0
2022.06.15 16:23,연깨갱이 개팔았네 아..,koch****,135,2,0
2022.06.15 15:29,"나보고 안티질한다고 알바라느니 몰아가더니...
				[1]",dddw****,188,0,3
2022.06.15 15:18,"장문 찬티 온 뒤로 급락하네
				[1]",mist****,172,3,1
2022.06.15 13:15,"매수
				[2]",ww89****,304,0,1
2022.06.15 13:07,"이런 상황에.
				[2]",fic6****,363,3,2
2022.06.15 12:15,"유가 수혜주
				[3]",kkkk****,288,1,1
2022.06.15 11:36,외인이 판단력,unlo****,183,2,0
2022.06.15 11:31,내알 급등 왜?,aaaa****,106,0,0
2022.06.15 11:09,11만주 거래에 쏙쏙 빼네 물량도 없구만,jinj****,96,0,0
2022.06.15 11:02,줍줍,sabj****,144,2,0
2022.06.15 10:16,후아..,unlo****,156,1,0
2022.06.15 06:48,"상한가
				[1]",kkkk****,280,6,1
2022.06.14 23:20,"aaa. kkk
				[1]",han5****,152,2,0
2022.06.14 22:59,무림그룹의 도약,aaaa****,124,3,0
2022.06.14 21:24,무림그룹주의 부활,kkkk****,111,1,0
2022.06.14 19:47,"장문의 댓글러 등장했노
				[2]",kpo2****,194,2,0
2022.06.14 17:34,거래량개망종목에,vipd****,120,1,0
2022.06.14 15:14,"내일 상한가가요
				[1]",aaaa****,239,2,2
2022.06.14 12:40,"주주여 1만원 직행
				[2]",aaaa****,282,1,2
2022.06.13 08:10,"인플레시대 원자재주
				[5]",how2****,1063,5,9
2022.06.09 18:19,"외인은..
				[1]",unlo****,640,2,2
2022.06.09 13:42,★텐배거 주식 투자법 총정리!,funi****,316,0,2
2022.06.09 12:19,"개미가다받네..망
				[1]",deuk****,430,3,1
2022.06.09 10:20,사람들 똑똑해졌네,sabj****,271,0,0
2022.06.09 10:15,얘가가야징,hkko****,174,0,0
2022.06.09 09:15,"제지사들 펄프 재고부족 vs 화물연대 파...
				[1]",gaes****,550,2,2
2022.06.08 12:36,"요상해
				[1]",unlo****,521,2,0
2022.06.08 10:19,거래량이 없다 없어,sdin****,276,2,0
2022.06.07 14:30,"무림
				[2]",ktom****,612,3,2
2022.06.07 13:03,"오늘은 @5,000을 넘어봅시다.
				[1]",gung****,457,5,4
2022.06.06 21:52,"오늘도
				[1]",418s****,722,9,7
2022.06.06 16:14,"부채가 너무 심각
				[2]",dddw****,786,1,12
2022.06.06 16:44,부채가 너무 심각,psk8****,363,7,3
2022.06.06 08:03,"일봉갭3815원 메운다.매도
				[3]",kkkk****,463,2,6
2022.06.06 03:24,개ㅇ에 숨어있구나,dddw****,246,0,1
2022.06.05 14:25,"악재2 ㅡ목재값 반토막 하락
				[3]",dddw****,711,3,4
2022.06.05 02:35,"악재
				[1]",dddw****,661,3,4
2022.06.04 20:50,"펄프값 하락할듯
				[1]",dddw****,599,4,3
2022.06.04 15:25,"스테그플레이션이 다가오고 있네요
				[1]",dddw****,326,3,1
2022.06.04 13:19,"장비 보수로 2주간..
				[1]",dddw****,353,2,4
2022.06.04 13:02,차트 롯데하이마트랑 비슷하게 흘러갈듯..,dddw****,239,1,2
2022.06.03 21:39,"18년도 외국인 15프로대 현재 2프로대
				[1]",sdin****,409,4,2
2022.06.03 19:16,"매출 하고 이익을 봐라
				[2]",jsp6****,580,10,3
2022.06.03 14:03,6/7 화물연대 파업이 중요한듯,gaes****,248,0,3
2022.06.03 13:26,외궈들아ㅜㅜ,deuk****,238,2,0
2022.06.03 12:00,"4월22일 거래량의 의미
				[2]",dddw****,418,2,4
2022.06.03 11:17,오늘 주봉 마감인데...,dddw****,194,1,1
2022.06.03 10:19,"2주간 장비 보수하면 어찌될까요?
				[1]",dddw****,373,0,2
2022.06.03 09:41,"주담한테 통화해보세요
				[3]",dddw****,566,3,3
2022.06.03 09:36,"외인은..
				[1]",unlo****,340,1,4
2022.06.03 09:22,"중국 펄프값 1000불 돌파
				[3]",beom****,455,3,3
2022.06.03 08:01,"오늘도 펄프 가격 올랐네요
				[1]",exe5****,373,2,2
2022.06.03 02:09,"펄프값 급락.... 조심하세요
				[4]",dddw****,586,0,6
2022.06.02 20:23,"2분기 어닝 써쁘라이즈  하면서 쳐올릴거...
				[2]",jsp6****,447,3,5
2022.06.02 18:19,"연기금 야금야금 들어오노
				[2]",nny7****,373,3,4
2022.06.02 16:09,또 한참 떨구겠네요,dddw****,221,1,3
2022.06.02 09:55,드럽게 안가네,unlo****,286,1,0
2022.06.02 09:25,샤폐론 으로 드릅게 안 엮이는구먼..,oops****,233,0,0
2022.06.02 04:23,"사페론 상장예정 날짜?
				[1]",gung****,528,1,2
2022.06.01 22:45,스벅가도 종이빨대 안 주더라,good****,239,1,0
2022.05.31 17:18,"이번주
				[2]",arie****,630,3,4
2022.06.01 12:39,이번주,psk8****,180,3,1
2022.05.31 17:16,"개미 많으면 안간다
				[3]",arie****,484,3,3
2022.05.31 15:51,"에라이
				[1]",unlo****,339,4,1
2022.05.31 13:06,"펄프 가격 또 올랐네요
				[6]",kutk****,886,8,9
2022.05.31 09:21,"주식수 6200만주인데
				[1]",pmho****,476,6,0
2022.05.31 08:22,오늘은좀가자,0605****,344,0,2
2022.05.30 18:39,"원숭이 두창 하고 관계 있다메?
				[1]",jsp6****,648,1,9
2022.05.30 14:56,"종가 딱
				[4]",scha****,730,1,4
2022.05.30 14:54,"오늘은
				[1]",hwan****,249,0,1
2022.05.30 14:45,"진격하라~~
				[1]",oops****,260,2,0
2022.05.30 14:39,"★ 국전 내일부터 랠리 갈겁니다
				[1]",seol****,265,2,1
2022.05.30 13:45,원래,zlem****,206,1,0
2022.05.30 13:17,함 줘~ 시원하게~,bubh****,212,1,0
2022.05.30 12:12,"때가 되면
				[1]",scha****,448,2,2
2022.05.30 12:08,"너도 두창이냐?
				[2]",dolc****,277,0,2
2022.05.30 11:41,봤제? 순식간에 2% 오르는거?,chie****,227,1,1
2022.05.30 11:41,"우리가 누구
				[1]",mays****,224,4,0
2022.05.30 11:35,오늘 조정폭 보니,scha****,183,0,0
2022.05.30 11:30,"프로그램매매 잘 보라카이,, 간다이기",chie****,131,0,0
2022.05.30 11:14,국전약품은 오르고,dusk****,184,1,0
2022.05.30 10:51,"오늘 버티는거 보니 쉽게 떨어지지는 않을...
				[2]",kuip****,274,0,3
2022.05.30 10:12,불기둥,ckw0****,215,3,0
2022.05.30 09:27,국전,yhr0****,160,0,0
2022.05.30 09:16,국전약품이 올라주네..,sy74****,186,1,0
2022.05.30 09:12,히히,zlem****,194,1,1
2022.05.30 09:14,히히,psk8****,107,0,0
2022.05.30 08:43,"난 줄기차게 말해왔다. 오늘 음봉이라고....
				[1]",dddw****,295,1,1
2022.05.30 07:12,오늘은 5천,scha****,302,1,0
2022.05.29 23:24,"ㅎㅎ자 이제 월요일장 하락 시작^^
				[1]",dddw****,307,5,6
2022.05.28 23:41,●무림P&P 펄프값 상승 분석●,meta****,381,3,2
2022.05.28 20:37,"페이퍼 sp 다 안올랐네
				[5]",rhj8****,646,3,5
2022.05.27 19:13,"여기 개인 세력들이 승리
				[4]",k112****,638,4,3
2022.05.27 18:49,"외인 평균가
				[1]",tlsg****,399,4,3
2022.05.27 17:56,"단일가 떡락
				[2]",ssh1****,454,5,6
2022.05.27 16:23,자자 퇴근시간,scha****,287,5,1
2022.05.27 16:15,존명,mays****,174,0,0
2022.05.27 15:00,존명,mays****,131,0,0
2022.05.27 14:36,"찬티인척 개미 꼬이는 애들 알바들이니 조...
				[1]",dddw****,299,2,6
