,일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
0,2021/01/04,231000,41000,21.58,203000,237500,199500,4269290,942354307000,21359545284000,92465564
1,2021/01/05,244000,13000,5.63,228500,251000,227000,3195931,762858912500,22561597616000,92465564
2,2021/01/06,257000,13000,5.33,256000,281500,251000,4279330,1126683461000,23763649948000,92465564
3,2021/01/07,263000,6000,2.33,268000,269000,256000,2014564,530804922000,24318443332000,92465564
4,2021/01/08,283000,20000,7.6,270000,296000,268000,3408996,962691792000,26167754612000,92465564
5,2021/01/11,294000,11000,3.89,290000,318500,281500,4147422,1241458533500,27184875816000,92465564
6,2021/01/12,284500,-9500,-3.23,288000,297500,271500,2349677,666743977500,26306452958000,92465564
7,2021/01/13,281000,-3500,-1.23,289500,296500,277500,1645616,468948736000,25982823484000,92465564
8,2021/01/14,262000,-19000,-6.76,274000,283500,261000,2611650,705698981500,24225977768000,92465564
9,2021/01/15,262500,500,0.19,261000,272000,261000,1539670,409152085000,24272210550000,92465564
10,2021/01/18,252500,-10000,-3.81,258500,262500,247000,1445600,367046243000,23347554910000,92465564
11,2021/01/19,270000,17500,6.93,253500,273000,248000,1921736,502115425000,24965702280000,92465564
12,2021/01/20,274500,4500,1.67,284500,284500,265000,1509315,411971360000,25381797318000,92465564
13,2021/01/21,276000,1500,0.55,279500,282000,274500,977034,271200495500,25520495664000,92465564
14,2021/01/22,278000,2000,0.72,278000,291000,275000,1522685,429425729000,25705426792000,92465564
15,2021/01/25,286500,8500,3.06,277500,289000,277500,1166669,332326588000,26491384086000,92465564
16,2021/01/26,287500,1000,0.35,289500,298500,284500,1601489,465426033000,26583849650000,92465564
17,2021/01/27,281000,-6500,-2.26,293000,297500,278000,1465356,422985229500,25982823484000,92465564
18,2021/01/28,276500,-4500,-1.6,272000,278500,270000,1178762,322819746500,25566728446000,92465564
19,2021/01/29,280000,3500,1.27,285000,294000,271000,3020600,858209271000,25890357920000,92465564
20,2021/02/01,316000,36000,12.86,287500,316000,280000,3348470,994947024000,29219118224000,92465564
21,2021/02/02,317500,1500,0.47,324000,326500,309000,2421197,763089443500,29357816570000,92465564
22,2021/02/03,316000,-1500,-0.47,320000,327500,314500,1707124,544157975000,29219118224000,92465564
23,2021/02/04,317000,1000,0.32,318000,324500,313500,1333404,423309818500,29311583788000,92465564
24,2021/02/05,304000,-13000,-4.1,320000,321500,289500,2736810,830135734500,28109531456000,92465564
25,2021/02/08,281500,-22500,-7.4,292500,296000,279000,2914442,831525664500,26029056266000,92465564
26,2021/02/09,288000,6500,2.31,285000,298000,284000,1785945,520379664000,26630082432000,92465564
27,2021/02/10,296500,8500,2.95,291000,301000,285500,1593876,469843746500,27416039726000,92465564
28,2021/02/15,284000,-12500,-4.22,275000,289500,268000,3822679,1070672236500,26260220176000,92465564
29,2021/02/16,284500,500,0.18,286000,289500,278000,1335559,378425126000,26306452958000,92465564
30,2021/02/17,297000,12500,4.39,284000,297000,280000,1890952,549017297000,27462272508000,92465564
31,2021/02/18,296000,-1000,-0.34,298500,303000,293500,1231945,366879149000,27369806944000,92465564
32,2021/02/19,296000,0,0.0,296000,299000,284500,992919,289368324000,27369806944000,92465564
33,2021/02/22,284000,-12000,-4.05,295000,295500,283000,1093541,314716207500,26260220176000,92465564
34,2021/02/23,284500,500,0.18,278000,288500,274000,876803,248355556000,26306452958000,92465564
35,2021/02/24,266500,-18000,-6.33,285000,287000,265500,1188062,326554500500,24642072806000,92465564
36,2021/02/25,270000,3500,1.31,277500,279000,267000,1068526,290401236500,24965702280000,92465564
37,2021/02/26,260500,-9500,-3.52,259500,268000,255500,1214788,317119028500,24087279422000,92465564
38,2021/03/02,265000,4500,1.73,268000,276500,262000,928188,249487416500,24503374460000,92465564
39,2021/03/03,266000,1000,0.38,263000,266000,258000,555621,145648397000,24595840024000,92465564
40,2021/03/04,264000,-2000,-0.75,262500,271500,260000,560566,148893341500,24410908896000,92465564
41,2021/03/05,252000,-12000,-4.55,259000,265500,247500,1331646,337684793000,23301322128000,92465564
42,2021/03/08,239500,-12500,-4.96,252000,253500,239000,1043253,255332189000,22145502578000,92465564
43,2021/03/09,230000,-9500,-3.97,235500,238000,224500,1481874,339615839500,21267079720000,92465564
44,2021/03/10,226000,-4000,-1.74,240000,240000,225000,886963,205272211500,20897217464000,92465564
45,2021/03/11,241500,15500,6.86,226500,244000,225000,1171776,278393160000,22330433706000,92465564
46,2021/03/12,242500,1000,0.41,245500,247500,237000,893711,215649335500,22422899270000,92465564
47,2021/03/15,228500,-14000,-5.77,238000,238500,228500,1316842,304035079500,21128381374000,92465564
48,2021/03/16,215500,-13000,-5.69,216500,223000,211000,2124858,458142860000,19926329042000,92465564
49,2021/03/17,216000,500,0.23,214000,218500,211000,1137853,244165955000,19972561824000,92465564
50,2021/03/18,214500,-1500,-0.69,220500,222500,214500,851838,185500760500,19833863478000,92465564
51,2021/03/19,211500,-3000,-1.4,208500,215500,205500,1132187,237676593500,19556466786000,92465564
52,2021/03/22,204500,-7000,-3.31,208500,209000,200000,1425570,289921590000,18909207838000,92465564
53,2021/03/23,202000,-2500,-1.22,206000,209000,201000,749542,153578505500,18678043928000,92465564
54,2021/03/24,204500,2500,1.24,199500,208000,198000,715518,145811159000,18909207838000,92465564
55,2021/03/25,207500,3000,1.47,206000,214500,205000,969026,203460473000,19186604530000,92465564
56,2021/03/26,209000,1500,0.72,210500,211000,205500,465454,96825568500,19325302876000,92465564
57,2021/03/29,205000,-4000,-1.91,211000,211500,204000,465743,96124660000,18955440620000,92465564
58,2021/03/30,223000,18000,8.78,206500,224500,204500,1439750,313111929500,20619820772000,92465564
59,2021/03/31,219000,-4000,-1.79,224500,224500,216000,834713,183021485000,20249958516000,92465564
60,2021/04/01,241500,22500,10.27,227500,251000,227500,3578846,860914922000,22330433706000,92465564
61,2021/04/02,241500,0,0.0,247000,247000,237500,883791,214313080000,22330433706000,92465564
62,2021/04/05,232500,-9000,-3.73,241000,241000,232500,719222,169279975000,21498243630000,92465564
63,2021/04/06,228500,-4000,-1.72,235000,235500,222500,781633,177963724000,21128381374000,92465564
64,2021/04/07,232500,4000,1.75,229500,240500,229000,741738,174579585000,21498243630000,92465564
65,2021/04/08,243500,11000,4.73,234500,246500,228000,1121741,266263501500,22515364834000,92465564
66,2021/04/09,238000,-5500,-2.26,241000,243500,235000,848650,202451605500,22006804232000,92465564
67,2021/04/12,266500,28500,11.97,275500,282000,265000,4266364,1161528664000,24642072806000,92465564
68,2021/04/13,277000,10500,3.94,269000,283500,268000,2471749,685137154000,25612961228000,92465564
69,2021/04/14,276500,-500,-0.18,281000,284000,274500,1034329,287127317000,25566728446000,92465564
70,2021/04/15,276500,0,0.0,277000,280000,273000,666715,184467570500,25566728446000,92465564
71,2021/04/16,276500,0,0.0,280000,280500,276000,542400,150387728500,25566728446000,92465564
72,2021/04/19,272000,-4500,-1.63,278000,279000,272000,656844,180008606500,25150633408000,92465564
73,2021/04/20,268500,-3500,-1.29,271500,274000,267500,687654,185106845500,24827003934000,92465564
74,2021/04/21,264000,-4500,-1.68,268500,269000,263000,581530,153947723000,24410908896000,92465564
