,Date,Title
0,2021-01-05 ,배터리는 끝까지 간다
1,2021-01-06 ,배터리는 영원하다
2,2021-01-07 , 삼성전자우 반도체 호황기 돌입 300 급등 시작 매수 적기
3,2021-01-07 ,화학 살펴보시죠
4,2021-01-07 , 속보 삼전우 외국인 50만주 집중매수 들어옴 매수 적기
5,2021-01-08 ,상한가 직행시장가 매수
6,2021-01-08 , 미증시 적삼병
7,2021-01-08 , 속보 미국 필반도체지수 4 폭등 삼성전자우 급등 타이밍
8,2021-01-08 , 미선물 쌍봉하락
9,2021-01-08 ,백신  화학 배터리
10,2021-01-11 , 파수
11,2021-01-11 ,공매도 금지를 청원합니다
12,2021-01-12 , 삼성전자우 강력 매수 신호 4가지 매수 적기 1
13,2021-01-13 , 삼성전자우 2021년 주가 급등 요인 5가지 매수 적기
14,2021-01-13 , 속보 삼성전자우 연기금 7만주 집중매수 들어옴 매수 적기
15,2021-01-13 , 삼성전자우 상승하는 분명한 이유가 있다 매수후 강 홀딩
16,2021-01-15 , 속보  10 폭등 반도체 삼성전자우 급등 타이밍
18,2021-01-18 ,상한가 5방테슬라 일론머스크가 설립한 스페이스에 공급 계약
20,2021-01-19 , 속보 삼성전자우 기관 5만주 집중매수 들어옴 매수 적기
21,2021-01-20 , 삼전우 안정성수익성성장성 모두 갖춘 유일한 종목 매수
22,2021-01-20 , 속보 마이크론 6 폭등 반도체 삼성전자우 급등 타이밍
23,2021-01-20 ,시외 급등주들 리스트
25,2021-01-24 , 속보 삼성전자우 급등전 매수를 128 특별배당배당 파격인상 1
26,2021-01-24 , 삼성전자우 호재 10가지 다수 발생 이번주 역대급 상승 전망 1
27,2021-01-26 , 속보 삼성전자우 5나노  반도체 삼성테슬라 제휴 1
28,2021-01-27 , 삼성전자우 호재 11가지 다수 발생 이번주 역대급 상승 전망 1
30,2021-01-29 ,개미필독 미 게임스탑 공매 전쟁 승리  한달만에 20배 폭등
31,2021-01-29 , 삼성전자우 반도체 슈퍼호황 자 반등 신호탄 매수 적기 1
33,2021-02-15 , 속보 삼성전자우 외국인 35만주 집중매수 호재 매수 적기
34,2021-02-15 , 제2의 비트코인 상장 전 휴대폰 무료채굴
35,2021-02-16 , 속보 마이크론 7 폭등 반도체 삼성전자우 급등 타이밍
36,2021-02-16 , 속보 삼성전자우 외국인 20만주 집중매수 호재 매수 적기
37,2021-02-16 , 삼성전자우 강력 매수 신호 4가지 매수 적기
38,2021-02-17 , 삼성전자우 호재 10가지 다수 발생 꾸준한 상승랠리 전망
39,2021-02-18 , 속보 삼성전자우 연기금 10만주 매수 들어옴 매수 적기
40,2021-02-19 , 삼성전자우 세계 최초  반도체 개발 쾌거 500조 시장 선점
41,2021-02-20 ,와 페이코인 공짜로 취득가능하네 
42,2021-02-21 , 며칠안남았어요
43,2021-02-21 , 페이코인으로 편의점서 싸게결제하세요
44,2021-02-21 ,페이코인 리워드 08 
46,2021-02-22 , 속보 마이크론 3 급등 반도체 삼성전자우 급등 타이밍
48,2021-02-24 , 삼성전자우 반도체 슈퍼호황 기대감 자 반등 신호탄
49,2021-02-24 , 속보 미국 마이크론 3 급등 삼성전자우 급등 타이밍
50,2021-02-25 , 삼성전자우 향후 10년간 510배 상승 이끌 업종은
51,2021-03-01 ,숨겨진 루시드전기차 수혜주 윈텍
52,2021-03-01 ,화요일 상한가 직행 시장가 매수
53,2021-03-01 , 반도체 수퍼사이클 더 세계 온다 영업익 50조 기대 삼전우
54,2021-03-02 , 속보 미국 필반도체지수 33 폭등 삼성전자우 급등 타이밍
57,2021-03-04 , 삼성전자 1분기 영업이익 891조40 큰 증가 삼전우 매수
58,2021-03-07 , 속보 마이크론 55 폭등 반도체 삼성전자우 급등 타이밍
59,2021-03-08 ,화학본주와 우선주의 괴리를좁혀달라
61,2021-03-12 , 삼성전자우 호재 8가지 다수 발생 꾸준한 상승랠리 전망
62,2021-03-12 , 속보  6 폭등 반도체 삼성전자우 급등 타이밍
63,2021-03-14 , 삼성전자우 1분기 영업이익 89조40 큰 증가 매수
65,2021-03-16 ,동방포스코엠텍 바닥에서 언급한 유튜버 발견
66,2021-03-17 , 삼성전자우 외국인 집중 매수반도체 가격 급등 본격상승 1
68,2021-03-17 ,주식 장 마감  주요 뉴스 및 공시
69,2021-03-17 ,얼마 안남았네요
70,2021-03-18 , 반도체 수퍼사이클 더 세계 온다 영업익 50조 기대 삼전우 1
71,2021-03-18 ,폭스바겐의 콧바람에 흔들리는 이유는
73,2021-03-21 , 주식 장마감 이슈
74,2021-03-22 , 속보 삼성전자우 외국인 20만주 집중매수 호재 매수
75,2021-03-22 ,  베터리 수난시대
76,2021-03-23 , 속보 인텔 물량 내일 새벽 수주 발표 임박 수주시 대형호재 2
77,2021-03-23 ,야 
78,2021-03-24 ,현대차기아차 형제들끼리 코피터지고 난리났네ㅋㅋㅋ
79,2021-03-26 , 삼성전자우 배당 자격일2 선 매수시 수익 유리 매수
80,2021-03-30 , 삼성전자우 46 호실적 발표 영업이익 40 급증 전망 1
81,2021-03-30 , 속보 삼성전자우 외국인 17만주 집중매수 호재 매수 적기
83,2021-04-02 , 삼성전자 목표가 120000원 407 추가 상승여력 매수 유효 1
85,2021-04-03 ,코스피 주체별매매102021년1월4월2일
86,2021-04-04 , 삼성전자우 47수 호실적 발표 영업이익 40 급증 전망 1
87,2021-04-07 ,냐스닥 한국 개미들매매 존경스럽다
89,2021-04-09 , 삼성전자우 특별배당작년 4분기 배당 13조원 배당금 나옴 1
90,2021-04-11 ,월요일 상한가 직행 시장가 매수
91,2021-04-11 ,투잡알바  카톡 52233  고수익보장  
92,2021-04-11 , 삼성전자우 이번주 특급호재 2가지 선 매수 유리 1
93,2021-04-12 ,기관외국인들을 바짝 지리게 만든 개미성님들ㅋㅋㅋ
95,2021-04-14 ,코스피시총10위 종목별외국인 국적 거래규모
96,2021-04-14 , 속보 삼성전자우 외국인 25만주 집중매수 호재 매수 적기 1
98,2021-04-16 , 삼전우 오늘 특별배당작년 4분기 배당 13조원 배당금 나옴 1
99,2021-04-20 , 속보삼성 70조 대박투자 반도체 투자 이르면 내달 나올듯 1
100,2021-04-21 , 삼성전자우 12만원 간다 근거 2가지 선 매수 유리 1
101,2021-04-22 , 삼전우 마지막 매수 기회 못 사면 평생 후회 세력 입성중 1
102,2021-04-25 , 속보  5 폭등 반도체 삼성전자우 급등 타이밍 1
103,2021-04-29 ,속보상한가 직행 시장가 매수
104,2021-04-30 , 삼성전자우 공매도 제외 종목 매수 삼전우 상승 유리 1
105,2021-05-07 ,다음주  따상 수혜주 윈텍 2차전지 검사장비
106,2021-05-07 ,속보상한가 직행시장가 매수
107,2021-05-21 ,환상적품절주 거래 윈텍 시총500억원 떨이중
108,2021-05-24 , 사기 인류
109,2021-05-24 , 정치 12단 이승만 대통령
110,2021-05-24 , 이동 운송수단 대형사고 지주 발생할 것
111,2021-05-27 ,화학 지금
112,2021-05-28 , 화폐가 있는 인간 세상  화폐가 없는 인간 세상
113,2021-05-28 , 세계 중앙은행들은왜
114,2021-05-28 , 산수공부
115,2021-05-29 ,15분만에 확인가능한 쉬운 매매법 공유 드립니다
116,2021-06-01 ,화학은 진짜 힘들다
117,2021-06-01 , 법률 퀴즈
118,2021-06-01 , 법률 퀴즈2
119,2021-06-01 , 법률 퀴즈3
120,2021-06-01 , 법률 퀴즈4
121,2021-06-01 , 법률 퀴즈5
122,2021-06-06 , 없을 무  있을 유
123,2021-06-06 , 범죄 화학반응 공식
124,2021-06-06 , 범죄 화학반응 공식2
125,2021-06-06 , 뉴클리어  수류탄
126,2021-06-06 , 속보 3일간 엔비디아 8 폭등 반도체 삼전우 급등 타이밍 1
127,2021-06-07 , 창업
128,2021-06-08 , 삼성전자우 마지막 매수기회 못 사면 평생 후회 세력입성 1
130,2021-06-09 ,화학
131,2021-06-09 , 국가 정부 수립 후
132,2021-06-10 ,에너지솔루션 상장
133,2021-06-10 , 삼성전자우 강력 매수 신호 발생 5달간 조정 마무리 매수 1
136,2021-06-11 , 대한민국 영토 전체를 전세를 놓겠습니다
137,2021-06-11 , 미얀마 군사정부는 듣거라
138,2021-06-11 , 허튼 보고서 발표하는 외국계 증권사 퇴출이켜라
139,2021-06-13 , 지구에 살아가는 인간의 미래
140,2021-06-14 , 삼성전자우 장기투자시 엄청난 수익률엄청난 배당금 1
142,2021-06-16 , 최신속보 삼전우 외국인 30만주 대량 매수 3차 상승랠리
143,2021-06-17 , 반도체 슈퍼사이클 더 세게 온다 영업익 50조 기대 1
144,2021-06-17 , 베스트셀러선생은 학생에게 무엇을 가르치나
145,2021-06-17 , 베스트셀러스님은 통바베큐 맛을 알까
147,2021-06-18 , 45만원에 매수해 수익실현 감사합니다
148,2021-06-19 , 공전자전 그리고 통바베큐
150,2021-06-22 , 대부인쇄소 사업
151,2021-06-22 , 한국중앙은행은
152,2021-06-22 , 미얀마 외통수 군사정부야
153,2021-06-22 , 장사가 잘되니 전세금 올려받네
154,2021-06-22 , 선생과 장사꾼 제자
155,2021-06-23 , 반도체 슈퍼사이클 더 세게 온다 영업익 50조 기대 삼전우 1
157,2021-06-23 , 국내 대형 해외직구샵 오픈했네
159,2021-06-24 , 퀴즈
160,2021-06-24 , 속보 카카오 폭락 이젠 삼성전자우 급등 빨리 매수를
161,2021-06-25 , 삼성전자우 2분기 배당일1 배당일 전에 선 매수 유리 1
163,2021-06-27 , 원자재값 상승은 곧
164,2021-06-27 , 삼성전자우 2분기 배당일 628월 월요일 마지막 매수 기회
165,2021-06-30 , 법이 살아 있다면
166,2021-06-30 ,엘화와 관련된 의견을 공유해 봅니다
167,2021-06-30 ,배터리 산업 전망
168,2021-07-01 , 삼전우 2분기 서프라이즈 실적 발표 임박7월초 선 매수
169,2021-07-01 ,화학 주가전망입니다
170,2021-07-02 , 삼성전자우 강력 매수 신호 발생 6개월 조정 마무리 매수 1
171,2021-07-02 , 국가납세원금반환청구소송
172,2021-07-02 ,좀만 더 참고 기다리면 
173,2021-07-03 , 디지털화폐는
174,2021-07-04 , 삼전우 2분기 서프라이즈 실적 발표 임박 77수 선 매수 1
175,2021-07-05 , 권력은 범죄다
177,2021-07-06 , 화폐 발행 범죄 경로 추적
178,2021-07-06 , 국가의 법이 범죄 인쇄화폐발행 유통을 허용했다
179,2021-07-07 , 삼성전자우 오늘 840분 2분기 서프라이즈 실적 발표 1
180,2021-07-07 , 속보 삼성전자우 2분기 사상 최대 서프라이즈 실적 발표
181,2021-07-08 ,나스닥 대폭락중
182,2021-07-08 ,   
183,2021-07-09 , 삼전우 강력 매수 신호 조정 마무리 국면 매수 적기 1
184,2021-07-09 ,시총 5위 엘지화학 주가전망입니다
185,2021-07-11 , 삼전우 6달간 주가 충분히 쉬었다 12만원 까지 적극 매수 1
187,2021-07-13 , 화학
188,2021-07-14 , 삼성전자우 호재 8가지 다수 발생 꾸준한 상승랠리 전망 1
189,2021-07-14 , 쥐화학
192,2021-07-15 ,와퇴근 후에 연락왔는데 이게무슨일
193,2021-07-15 , 생존범죄학개론
194,2021-07-16 , 삼성전자우 본격 상승신호 3가지 포착 매수 적기 1
195,2021-07-18 , 희소식 삼성전자우 2분기 사상 최대 서프라이즈 실적 발표 1
196,2021-07-19 , 본 자리
197,2021-07-19 , 세계를 통틀어 이렇게 가르친 교육자는 없었다
198,2021-07-19 ,대폭락장 시작됐다
200,2021-07-20 ,누구를 위한 역주행 투자 삼성이 본사 사옥까지 팔아서
203,2021-07-23 , 속보 삼성전자우 외국인 7일간 100만주 대량 매수 매수적기
204,2021-07-24 ,화학 주가 전망
205,2021-07-24 ,세계 주가 거품인가
206,2021-07-25 ,삼성이 본사 사옥까지 팔아서 100조를 대기중인 이유
210,2021-07-27 ,종목선정하는법을 가르쳐드립니다
212,2021-07-29 , 삼성전자우 12만6000원까지 오른다파격 전망 내놓은 증권 1
213,2021-07-30 , 속보 삼성전자우 외국인 최근 117만주 대량 매수 매수적기 1
214,2021-07-30 ,삼성이 본사 사옥까지 팔아서 100조를 대기중인 이유2
215,2021-08-01 ,코로나 끝났다
216,2021-08-01 ,부의 몰락 
217,2021-08-02 , 속보 미국 필반도체지수 사상 최고치 경신 삼성전자우
218,2021-08-03 , 속보 삼성전자우 반도체주 급등중 그동안 못 올라 70 폭등
221,2021-08-06 , 속보 삼성전자우 최근 외국인 270만주 대량 매수 매수적기 1
222,2021-08-06 , 삼전우 강력 매수 신호 조정 끝 본격 상승 랠리 매수 적기 1
223,2021-08-06 ,달러가 괴물로 변하는 순간4배짜리 대박기회가 찾아온다
224,2021-08-07 ,금요일 매동입니다
225,2021-08-08 ,1주일간 매매동향 입니다
