,Date,Title
0,2021-01-05 , 삼성전자우 2021년 주가 급등 요인 5가지 매수 적기
1,2021-01-06 ,에스케이 익일 갭상 갈듯 이유 나옴 주주들 미리 축하
2,2021-01-07 , 삼성전자우 반도체 호황기 돌입 300 급등 시작 매수 적기
3,2021-01-08 , 속보 미국 필반도체지수 4 폭등 삼성전자우 급등 타이밍
4,2021-01-08 ,1조투자
5,2021-01-08 ,다음주에 움직일 섹터 예상
6,2021-01-08 ,사에선 벌써 난리났다 주주 추카하고
7,2021-01-11 ,계좌가 녹아내리네요
8,2021-01-11 ,공매도 금지를 청원합니다
9,2021-01-12 , 삼성전자우 강력 매수 신호 4가지 매수 적기
11,2021-01-13 , 속보 삼성전자우 연기금 7만주 집중매수 들어옴 매수 적기
12,2021-01-13 , 10만원에 매수해 지금 다매도중
13,2021-01-14 ,십만전자 가즈아
14,2021-01-14 ,이노베이션 종목 관련
16,2021-01-15 , 속보  10 폭등 반도체 삼성전자우 급등 타이밍
18,2021-02-11 , 청원
19,2021-02-12 ,에너지 솔루션 입장컨퍼런스콜 요약
20,2021-02-13 , 삼성전자우 속보 퀄컴 차기 5칩 삼성 4나노 공정에 맡길듯
21,2021-02-13 ,주주 감정 평가단
22,2021-02-13 , 속보삼성전자우 급등 타이밍 반도체 마이크론 7 폭등
23,2021-02-13 ,거부권 가능성 분석
24,2021-02-15 ,냐스닥 정보 한국 코스피에서 큰거 한방 터진다
25,2021-02-15 , 속보 삼성전자우 외국인 35만주 집중매수 호재 매수 적기
26,2021-02-16 , 속보 마이크론 7 폭등 반도체 삼성전자우 급등 타이밍
27,2021-02-16 , 속보 삼성전자우 외국인 13만주 집중매수 호재 매수 적기
28,2021-02-17 , 삼성전자우 호재 10가지 다수 발생 꾸준한 상승랠리 전망
29,2021-02-18 , 속보 삼성전자우 연기금 10만주 매수 들어옴 매수 적기
31,2021-02-19 , 삼성전자우 세계 최초  반도체 개발 쾌거 500조 시장 선점
32,2021-02-21 , 비트코인 티몬상장 대장주
33,2021-02-22 , 속보 마이크론 3 급등 반도체 삼성전자우 급등 타이밍
35,2021-02-24 , 삼성전자우 반도체 슈퍼호황 기대감 자 반등 신호탄
36,2021-02-25 , 속보 마이크론 5 폭등 반도체 삼성전자우 급등 타이밍
37,2021-02-25 ,비슬산 성인 주주기도
38,2021-03-01 ,숨겨진 루시드전기차 수혜주 윈텍
39,2021-03-02 , 속보 미국 필반도체지수 33 폭등 삼성전자우 급등 타이밍
40,2021-03-07 ,제가 공부한 이노
41,2021-03-07 , 속보 마이크론 55 폭등 반도체 삼성전자우 급등 타이밍
42,2021-03-09 , 삼성전자우 1분기 영업이익 89조40 큰 증가 매수
43,2021-03-11 , 삼성전자우 호재 8가지 다수 발생 꾸준한 상승랠리 전망
45,2021-03-12 , 속보  6 폭등 반도체 삼성전자우 급등 타이밍
48,2021-03-17 , 삼성전자우 외국인 집중 매수반도체 가격 급등 본격상승 1
49,2021-03-17 ,주식 장 마감  주요 뉴스 및 공시
50,2021-03-18 , 반도체 수퍼사이클 더 세계 온다 영업익 50조 기대 삼전우
51,2021-03-18 ,주식 장 마감주요이슈
53,2021-03-21 , 삼성전자우 1분기 영업이익 891조40 큰 증가 매수
54,2021-03-22 ,세상을 밝히는 개미주주들의 힘
55,2021-03-22 , 속보 삼성전자우 외국인 30만주 집중매수 호재 매수
56,2021-03-22 ,저도 주주였습니다
57,2021-03-25 , 속보 동학개미 분노에 놀랐나국민연금 주식 더 안판다
58,2021-03-26 , 삼성전자우 배당 자격일2 선 매수시 수익 유리 매수
59,2021-04-01 , 우리나라 실전투자대회 최다우승자입니다
60,2021-04-02 , 삼성전자우 47 호실적 발표 영업이익 40 급증 전망
61,2021-04-09 , 삼성전자우 특별배당작년 4분기 배당 13조원 배당금 나옴
62,2021-04-11 , 월요일 상한가 직행 시장가 매수
63,2021-04-11 ,투잡알바  카톡 52233  고수익보장  
64,2021-04-11 , 삼성전자우 이번주 특급호재 2가지 선 매수 유리
65,2021-04-11 ,이노베이션
66,2021-04-12 ,오늘 급등은 예상은 했지만 추가 상승여력 판단여부
68,2021-04-14 ,외국인등 28만 이하에서 매수하려고 이상가니 매도 던지네
69,2021-04-14 , 속보 삼성전자우 외국인 25만주 집중매수 호재 매수 적기
70,2021-04-14 ,30대 40대 육아 맞벌이 분들 보세요
71,2021-05-06 ,남양유업과 그룹 비교분석
72,2021-05-07 ,다음주  따상 수혜주 윈텍 2차전지
73,2021-05-11 ,이노베이션 목표주가 32만원 이노베이션 주가 전망2021
74,2021-05-15 , 시총24조 목표가33만원 경제티브이 전문가드림
75,2021-05-16 , 수혜주 윈텍 2차전지 검사장비 시총 500억원 떨이중
76,2021-05-29 ,15분만에 확인가능한 쉬운 매매법 공유 드립니다
77,2021-05-29 ,에스케이 이노베이션
78,2021-06-08 , 삼성전자우 마지막 매수기회 못 사면 평생 후회 세력입성 2
79,2021-06-10 , 삼성전자우 강력 매수 신호 발생 5달간 조정 마무리 매수 2
80,2021-06-14 , 삼성전자우 장기투자시 엄청난 수익률엄청난 배당금
81,2021-06-16 , 최신속보 삼전우 외국인 30만주 대량 매수 3차 상승랠리 1
83,2021-06-23 ,걱정하지마시고
84,2021-06-24 ,오늘부터 시작하세요
86,2021-06-25 ,잃기만했던 내가 현재는 쉽게 챙겨가고 있다
87,2021-06-30 ,이노베이션 공유가 늦었습니다
88,2021-07-01 , 삼전우 2분기 서프라이즈 실적 발표 임박7월초 선 매수 1
89,2021-07-01 ,미친거 아님
90,2021-07-01 ,500그냥 거저 먹기
91,2021-07-02 , 삼성전자우 강력 매수 신호 발생 6개월 조정 마무리 매수
92,2021-07-02 ,물린거 복구할 방법은 이거뿐이다 진짜ㅋㅋ
93,2021-07-02 ,오를거 미리 알고 있었는데
94,2021-07-05 ,월요일 오전 부터
95,2021-07-08 ,나스닥 대폭락중
96,2021-07-11 , 삼전우 6달간 주가 충분히 쉬었다 12만원 까지 적극 매수
97,2021-07-15 ,오늘 부 채 질 할 것으로 보입니다 확 인 시 급
98,2021-07-15 ,와퇴근 후에 연락왔는데 이게무슨일
99,2021-07-16 , 삼성전자우 본격 상승신호 3가지 포착 매수 적기
100,2021-07-16 ,이거 근거는 명확합니다
101,2021-07-19 , 삼전우 강력 매수 신호 조정 마무리 국면 매수 적기 1
102,2021-07-22 , 속보 삼성전자우 외국인 6일간 77만주 대량 매수 매수적기
103,2021-07-24 ,이노베이션 전망 
104,2021-07-24 ,세계 주가 거품인가 
106,2021-07-27 ,종목선정하는법을 가르쳐드립니다
107,2021-08-01 ,달러가 괴물로 변하는 순간4배짜리 대박기회가 찾아온다
108,2021-08-04 ,오늘 드렸던 종목 512씩 잘 챙기셨죠
109,2021-08-04 , 최대악재 출현
110,2021-08-04 , 와내용보고 직접판단해보셈
111,2021-08-04 ,일석이조네요
112,2021-08-04 ,제가 몇 번이나 강조드렸죠
113,2021-08-05 ,이노베이션 물적분할 거부합시다
114,2021-08-06 ,이노베이션 심각한 사안 오늘중 예정이네요
115,2021-08-06 , 분할 상장건으로
116,2021-08-07 ,금요일 매동입니다
117,2021-08-08 ,1주일간 매매동향 입니다
118,2021-08-08 , 삼성전자우 강력 매수 신호 본격 상승 랠리 매수 적기 1
119,2021-08-09 ,청와대 국민청원
120,2021-08-09 ,오늘 매동입니다
122,2021-08-12 ,부의 몰락 원화의 저주가온다
123,2021-08-13 ,개인들 투매
125,2021-08-17 , 삼성전자우 지금이 저가 매수 기회 5가지 이유 매수적기
126,2021-08-17 ,언제 쯤 상승할까
127,2021-08-19 , 삼성전자우 향후 성장성 매우 높은 3가지  보유 선매수
128,2021-08-20 , 삼성전자우 장기투자시 엄청난 수익률엄청난 배당금 1
129,2021-08-21 ,주간매동  외인들만 매도세
130,2021-08-22 , 삼성전자우 강력 매수 신호 낙폭과대 저가 매수 기회
131,2021-08-24 ,청와대국민청원
132,2021-08-24 , 속보 삼전우 외국인 30만주 대량 매수 이젠 급등랠리 상황
133,2021-08-25 ,경기회복 기대 유가 상승
135,2021-08-26 ,외인 매도세 증가
136,2021-08-27 ,이노베이션 외인 기관 순매수 지속  2021 8 27
137,2021-08-28 ,이노베이션 관련 미국 주가 변동 2021 8 27 금요일
138,2021-08-29 , 삼성전자우 폴더블폰 향후 2년간 10배 성장 수익성 매우 큼
139,2021-09-05 , 삼성전자우 강력 매수 신호 낙폭과대 저가 매수 기회 2
140,2021-09-08 ,달러금 투자에 관한 모든 것
141,2021-09-10 ,물적분할 반대합시다
142,2021-09-10 ,이노베이션당일 외인 매수세 증가  2021 9 10  금요일
143,2021-09-13 , 후회마세요
144,2021-09-14 , 물분 반대 적극 동참합시다
145,2021-09-15 , 삼성전자우 지금이 저가 매수 기회 4가지 이유 매수적기 1
146,2021-09-16 , 악재해소
147,2021-09-17 , 이노베이션 기업분석 및 목표주가산정
148,2021-09-19 ,이노베이션주간 연기금 매수세 증가
150,2021-09-23 , 3분기 어닝서플 예상
151,2021-09-24 , 삼전우 속보 테슬라 7나노 칩 수주 대형호재 매수 타이밍 1
152,2021-09-29 , 이것도오른거라고줄줄빠지나
153,2021-09-29 , 좀오리니매물ㅈ 나왕창띠리네엣
155,2021-10-01 , 삼성전자우 향후 성장성 매우 높은 3가지  보유 선매수 1
156,2021-10-01 , 삼전우 3분기 최고 실적 예고 10월초 발표 임박 선 매수 1
157,2021-10-01 , 삼성전자우 본격 상승신호 5가지는 선 매수 훨씬 유리 2
165,2021-10-11 , 삼성전자우 대형호재 3나노 제품 보다 앞서 내년 생산
168,2021-10-25 ,유가 상승분이 주가로 이어질 수 있을까
169,2021-10-27 ,투자진흥원 한국투자진흥원 계좌박살 회원가입하지마세요
170,2021-10-28 ,이례적인 일이 될수도  3
171,2021-10-28 , 내년 대세임박
172,2021-10-29 ,이노베이션 전반적인 가치는
173,2021-10-30 ,배터리 분석글 재미지네요ㅋ
174,2021-10-31 ,이노베이션 고민이시라면
175,2021-11-01 ,형들 제발
176,2021-11-02 ,이노베이션 지금 상태에는
177,2021-11-02 ,이노베이션 지금에서는
178,2021-11-04 ,형님들
179,2021-11-07 , 삼전우 최근 기관외국인 107만주 쌍매수 강력 매수 신호
180,2021-11-10 ,왜 이노베이쉔이 하락하는가
181,2021-11-14 , 삼성전자우 월요일 갭상으로 시작 종가 큰 상승 확실
183,2021-11-17 , 삼성전자우 3분기 배당 나옴 오늘1117 선 매수 유리 1
184,2021-11-18 , 이재용 부회장 미국 출장1114 호재 뉴스 곧 나옴 선 매수 유리
