,Date,Title
0,2021-01-05 ,고려아연 슛팅 시작
1,2021-02-02 ,비슬산 성인 주주기도
2,2021-02-03 , 삼성전자우 강력 매수 신호 4가지 매수 적기
3,2021-02-09 , 속보 엔비디아 7 폭등 반도체 삼성전자우 급등 타이밍
4,2021-05-05 ,공매도 어떻게 대응할지 알려드립니다
5,2021-07-14 ,위에도는말들힘은있네요빠른공유 3
6,2021-07-14 ,시민단체 경실련 공매도 조사 서명운동에 동참해 주셔요 
7,2021-07-21 ,아 이거였네ㅋㅋ
8,2021-07-23 ,주린이들이 꼭 대충보고 후회하더라ㅋㅋ
9,2021-08-01 ,일본인의 눈물달러투자로 단기간에 재산을 4배 불리는 기법
10,2021-10-06 ,상한가3방 공시 직행 시장가 풀매수
11,2021-10-09 ,삼성이 본사 사옥까지 팔아서 100조를 대기중인 이유2
12,2021-10-13 ,월급쟁이와 가난뱅이가 부자 되는 방법은 오로지 2가지 뿐
13,2021-10-16 ,공매도 폐지 청원입니다
14,2021-10-20 ,투자진흥원 한국투자진흥원 계좌박살ㅈ됨
15,2021-10-29 ,고려아연 전반적인 가치는
16,2021-10-29 ,어젠 초상집이더니 오늘은 낫네
17,2021-10-31 ,고려아연 지금 시점에서는
18,2021-11-02 ,고려아연 지금 상태에는
19,2021-11-04 ,실화
21,2021-11-19 ,이재명 공매도 외국인상환기한 무제한철폐 등 제도 보완
22,2021-11-20 ,혼자가 아닙니다 우리함께해요
23,2021-11-21 , 삼성전자우 월요일 갭상으로 시작 종가 큰 상승 확실
24,2021-11-22 ,고려아연 지금은 중요하게 보셔야하는데
25,2021-11-26 ,한국도 일본처럼 투자할 곳이 완전히 사라진다 한국의 눈물
26,2021-12-08 ,삼성이 본사 사옥까지 팔아서 100조를 대기중인 이유 
27,2022-01-03 ,장기투자는 다 망한다주식을 전혀 몰라도 아이를 주식부자로
28,2022-01-15 ,최신 찌라시정리
29,2022-01-17 ,모빌리티 주목삼성전기고려아연 러브콜
30,2022-01-22 ,30년간 일본의 눈물  이제 시작 한국의 눈물 
31,2022-02-18 ,고려아연 증권사 리포트
32,2022-02-20 ,주식에 장기투자하면 다 망한다주식을 전혀 몰라도 아이를
33,2022-03-19 ,정년 후에는 아무 곳에도 투자하지 말라고 정년 후에도 20년씩 더
34,2022-03-25 ,  비트코인을 사지말고 비트코인 거래소 주식을 사라
35,2022-03-29 ,주식에 장투하면 다 망한다주식을 전혀 몰라도 아이를 주식부자로
37,2022-04-06 , 고려아연 올해 최대 실적 기대에 신고가종합2보
38,2022-04-13 , 고려아연 코로나 여파에 볼리비아 아연광산 철수
39,2022-04-17 ,철강금속 업체 분석 및  
40,2022-04-24 , 내돈은 꼬불처놓고 거금 타인자본으로 회사인수
41,2022-05-03 ,한국의 눈물 삼성도 사옥까지 팔아서 100조를 대기중인 이유 
42,2022-05-24 ,고려아연 저평가 분석자료 목표주가 00만원
43,2022-06-26 ,지인과 독자들께 보내는 향후 10년 이상의 한국시장의 투자레터 
