,Date,Title
0,2021-01-06 ,배터리는 영원하다
1,2021-01-07 , 삼성전자우 반도체 호황기 돌입 300 급등 시작 매수 적기 1
2,2021-01-08 ,상한가 직행시장가 매수
3,2021-01-08 , 속보 미국 필반도체지수 4 폭등 삼성전자우 급등 타이밍
4,2021-01-11 ,공매도 금지를 청원합니다
5,2021-01-12 , 삼성전자우 강력 매수 신호 4가지 매수 적기
6,2021-01-13 , 삼성전자우 2021년 주가 급등 요인 5가지 매수 적기
7,2021-01-13 , 속보 삼성전자우 연기금 7만주 집중매수 들어옴 매수 적기
9,2021-01-18 ,상한가 5방테슬라 일론머스크가 설립한 스페이스에 공급 계약
11,2021-01-20 , 삼전우 안정성수익성성장성 모두 갖춘 유일한 종목 매수
12,2021-01-20 , 속보 마이크론 6 폭등 반도체 삼성전자우 급등 타이밍
14,2021-01-24 , 속보 삼성전자우 급등전 매수를 128 특별배당배당 파격인상 1
15,2021-01-25 ,지금다매도중 손절가776000원 경제티브이 전문가드림
16,2021-01-25 , 780000원에560주매수 지금 다매도중
17,2021-01-26 , 속보 삼성전자우 5나노  반도체 삼성테슬라 제휴 1
18,2021-01-28 , 삼성전자우 강력 매수 신호 4가지 매수 적기 1
19,2021-01-29 ,개미필독 미 게임스탑 공매 전쟁 승리  한달만에 20배 폭등
20,2021-01-29 , 삼성전자우 반도체 슈퍼호황 자 반등 신호탄 매수 적기 1
22,2021-01-29 , 속보 삼성전자우 연기금 3만주 매수 들어옴 매수 적기
23,2021-01-31 , 삼성전자우 반도체 호황기 돌입 300 급등 시작 매수 적기
25,2021-02-02 , 속보 삼성전자우 연기금 10만주 매수 들어옴 매수 적기
27,2021-02-02 , 속보 삼성전자우 외국인 35만주 집중매수 호재 매수 적기
28,2021-02-04 , 삼성전자우 호재 10가지 다수 발생 꾸준한 상승랠리 전망
29,2021-02-04 , 속보 삼성전자우 외국인 70만주 집중매수 호재 매수 적기
30,2021-02-10 ,주식의 꽃
31,2021-02-12 ,새해 복많이 받으세요
32,2021-02-13 , 삼성전자우 속보 퀄컴 차기 5칩 삼성 4나노 공정에 맡길듯
33,2021-02-13 ,주주 감정 평가단
34,2021-02-14 ,비슬산 성인 주주기도
36,2021-02-15 , 제2의 비트코인 상장 전 휴대폰 무료채굴
37,2021-02-16 , 속보 마이크론 7 폭등 반도체 삼성전자우 급등 타이밍
40,2021-02-19 , 삼성전자우 세계 최초  반도체 개발 쾌거 500조 시장 선점
41,2021-02-20 ,페이코인 공짜로 취득가능한거 아나요 5코인뿐이지만여
42,2021-02-21 ,페이코인 리워드 08 
43,2021-04-14 , 속보 삼성전자우 외국인 25만주 집중매수 호재 매수 적기
44,2021-04-14 ,삼성 호재
45,2021-04-16 , 삼전우 오늘 특별배당작년 4분기 배당 13조원 배당금 나옴
46,2021-04-20 , 속보삼성 70조 대박투자 반도체 투자 이르면 내달 나올듯
47,2021-04-21 , 삼성전자우 12만원 간다 근거 2가지 선 매수 유리 1
48,2021-04-22 , 삼전우 마지막 매수 기회 못 사면 평생 후회 세력 입성중 1
49,2021-04-25 , 속보  5 폭등 반도체 삼성전자우 급등 타이밍
51,2021-04-30 , 삼성전자우 공매도 제외 종목 매수 삼전우 상승 유리 2
52,2021-05-07 ,다음주  따상 수혜주 윈텍 2차전지
53,2021-05-17 , 종가23만원 경제티브이 야신 김동우 드림
54,2021-05-19 ,공매도 이렇게 대응하면 됩니다
55,2021-05-29 ,15분만에 확인가능한 쉬운 매매법 공유 드립니다
56,2021-06-04 , 삼성전자우 마지막 매수기회 못 사면 평생 후회 세력입성 1
57,2021-06-06 , 속보 3일간 엔비디아 8 폭등 반도체 삼전우 급등 타이밍 1
59,2021-06-14 , 삼성전자우 장기투자시 엄청난 수익률엄청난 배당금 2
60,2021-06-16 , 최신속보 삼전우 외국인 30만주 대량 매수 3차 상승랠리
61,2021-06-17 , 반도체 슈퍼사이클 더 세게 온다 영업익 50조 기대 1
63,2021-06-21 ,전영현 사장아저씨 저는화가납니다
64,2021-06-24 , 삼성전자우 강력 매수 신호 발생 5달간 조정 마무리 매수 1
65,2021-06-24 ,전영현사장아저씨야
66,2021-06-24 ,동진쎄미켐 살려내라 전영현사장아저씨김기남부회장아저씨
67,2021-06-25 ,잃기만했던 내가 현재는 쉽게 챙겨가고 있다
68,2021-06-27 , 삼성전자우 2분기 배당일 628월 월요일 마지막 매수 기회
69,2021-07-04 , 삼전우 2분기 서프라이즈 실적 발표 임박 77수 선 매수
70,2021-07-07 ,아니 지들끼리 이거 독식하려들길래 괘씸해서
71,2021-07-08 , 희소식 삼성전자우 2분기 사상 최대 서프라이즈 실적 발표
72,2021-07-08 ,나스닥 대폭락중 1
73,2021-07-09 , 삼전우 강력 매수 신호 조정 마무리 국면 매수 적기 1
