,Date,Title
0,2021-01-02 , 삼성전자우 강력 매수 신호 4가지 매수 적기
1,2021-01-05 , 삼성전자우 2021년 주가 급등 요인 5가지 매수 적기
2,2021-01-05 , 삼성전자우 반도체 호황기 돌입 300 급등 시작 매수 적기 1
3,2021-01-13 , 삼성전자우 상승하는 분명한 이유가 있다 매수후 강 홀딩
4,2021-01-24 , 속보 삼성전자우 급등전 매수를 128 특별배당배당 파격인상
5,2021-01-27 , 삼성전자우 호재 11가지 다수 발생 이번주 역대급 상승 전망
6,2021-01-27 ,포스코케미칼 놀랍네요 진짜
7,2021-01-29 ,개미필독 미 게임스탑 공매 전쟁 승리 한달만에 20배 폭등
9,2021-01-31 ,비슬산 성인 주주기도
11,2021-02-02 , 속보 삼성전자우 연기금 10만주 매수 들어옴 매수 적기 1
12,2021-02-09 ,폭망의 사태 대비
13,2021-02-13 , 삼성전자우 속보 퀄컴 차기 5칩 삼성 4나노 공정에 맡길듯
14,2021-02-22 , 속보 마이크론 3 급등 반도체 삼성전자우 급등 타이밍
15,2021-02-25 , 삼성전자우 향후 10년간 510배 상승 이끌 업종은
17,2021-03-04 , 삼성전자 1분기 영업이익 891조40 큰 증가 삼전우 매수
18,2021-03-04 ,넘 고평가됬네
19,2021-03-14 , 속보 삼성 퀄컴 차세대 플래그십 도 위탁생산대형호재
20,2021-03-17 , 삼성전자우 외국인 집중 매수반도체 가격 급등 본격상승 1
21,2021-03-21 , 삼성전자우 배당 자격일5 선 매수시 수익 유리
22,2021-03-28 , 삼성전자우 배당 마지막 329월 선 매수시 수익 유리
23,2021-03-30 , 삼성전자우 46 호실적 발표 영업이익 40 급증 전망
24,2021-04-02 , 삼성전자 목표가 120000원 407 추가 상승여력 매수 유효
25,2021-04-06 , 삼성전자우 47수 호실적 발표 영업이익 40 급증 전망
26,2021-04-16 , 삼전우 오늘 특별배당작년 4분기 배당 13조원 배당금 나옴
27,2021-04-20 , 속보삼성 70조 대박투자 반도체 투자 이르면 내달 나올듯
28,2021-04-22 , 삼전우 마지막 매수 기회 못 사면 평생 후회 세력 입성중
29,2021-05-08 ,공매도 이기는법을 영상하나로 끝내드립니다
30,2021-06-03 ,코리아 인베스트먼트 페스티벌 2021
31,2021-06-06 , 속보 3일간 엔비디아 8 폭등 반도체 삼전우 급등 타이밍 1
32,2021-06-07 ,포케 쓰레기네 
33,2021-06-09 , 삼성전자우 12만원 간다 근거 2가지 선 매수 유리
34,2021-06-14 , 삼성전자우 장기투자시 엄청난 수익률엄청난 배당금 1
35,2021-06-21 , 삼성전자우 마지막 매수기회 못 사면 평생 후회 세력입성 1
36,2021-06-23 ,오늘도 마무리 잘하셨나요
37,2021-06-24 , 삼성전자우 강력 매수 신호 발생 5달간 조정 마무리 매수 1
38,2021-06-27 , 삼성전자우 2분기 배당일 628월 월요일 마지막 매수 기회
39,2021-07-05 , 삼전우 2분기 서프라이즈 실적 발표 임박 77수 선 매수
40,2021-07-08 ,아직 아무도 못본듯
41,2021-07-08 ,누구 장닌이냐
42,2021-07-09 , 삼전우 강력 매수 신호 조정 마무리 국면 매수 적기
43,2021-07-11 , 삼전우 6달간 주가 충분히 쉬었다 12만원 까지 적극 매수
44,2021-07-13 ,시민단체 경실련 공매도 서명운동에 동참해 주셔요 
46,2021-07-19 , 희소식 삼성전자우 2분기 사상 최대 서프라이즈 실적 발표
47,2021-07-26 , 속보 삼성전자우 외국인 8일간 110만주 대량 매수 매수적기
48,2021-08-02 , 속보 미국 필반도체지수 사상 최고치 경신 삼성전자우
49,2021-08-08 , 삼성전자우 강력 매수 신호 본격 상승 랠리 매수 적기 1
50,2021-08-17 , 삼성전자우 지금이 저가 매수 기회 5가지 이유 매수적기
51,2021-08-22 , 삼성전자우 향후 성장성 매우 높은 3가지  보유 선매수
52,2021-09-05 , 삼성전자우 폴더블폰 10배 폭풍 성장 대박호재 매수 적기
53,2021-09-08 ,부의 몰락 달러와 금의 흐름으로 읽는 한국의 미래
54,2021-09-13 , 삼성전자우 강력 매수 신호 낙폭과대 저가 매수 기회 1
55,2021-09-13 ,포스코 케미칼
56,2021-09-21 ,기이한 경제현상2016부터 달러가 오르면 금값도 올라   
57,2021-09-22 , 삼성전자우 3분기 배당일 9282 배당일 전에 선 매수 유리
