,Date,Title
0,2021-01-01 ,지금은 유동성장세 
1,2021-01-01 ,8월에 715층에 100만보고 들어온 주주임다
2,2021-01-01 ,민주당이글 퍼지믄서 난리났다절마 저것어떻게교도소보낼까
3,2021-01-01 ,미국의 중국 깡력 제재는 한국에게 오히려 불리하게 작용할겨
4,2021-01-01 ,우상호 김어준 사실관계 분명한 방송인
5,2021-01-01 ,최대 수혜주는
6,2021-01-01 ,엘화 에너지솔루션 물적분할 말고
7,2021-01-01 ,미국 이란에 52 폭격기 또 급파이란 단거리 미사일 이라크 이동 새해 양국 긴장 최고조
8,2021-01-01 ,생명과학사업본부   연구 직무 화학 직무   
9,2021-01-01 ,화학 더 갑니다 상승추세 유지 및 여력 전망
10,2021-01-01 ,결국엔 기관투자자들 말이 맞았네
11,2021-01-01 ,새해 인사
12,2021-01-01 ,한달전
13,2021-01-01 ,신천지 무슨교회코로나 퍼진다고단속하고 구속햐고
14,2021-01-01 ,10
15,2021-01-01 ,엘화 주주님들 제발 공매도
16,2021-01-01 ,차트 너무 아름다운데
17,2021-01-01 ,조선여론조사문정권들어서공정하지않다56
18,2021-01-01 ,와 밧테리 동맹 맺은 회사가
19,2021-01-01 ,금융 감독원 관계자님 
20,2021-01-02 ,긴급레버리지10배 고수익재테크 실체 
21,2021-01-02 ,진짜  
22,2021-01-02 ,전기차 사면 안되는 이유
23,2021-01-02 ,긴급 레버리지10배15배 고수익 재테크 실체
24,2021-01-02 ,화학 전망
25,2021-01-02 ,매수하고 싶은데  또 고민이 됩니다
26,2021-01-02 ,문재인 대통령님 업적
27,2021-01-02 ,3차 수주 축하합니다
28,2021-01-02 ,화학 배터리 없이도 괜찮아  이슈의 재구성   
30,2021-01-03 ,삭제된 게시물의 답글개보수가 정권잡았으면 코로나사망100만명이상
31,2021-01-03 ,는 주가논하기전에 인간들이되라
32,2021-01-03 ,슬슬 엘지 베터리 상장 대비 하세요
33,2021-01-03 ,한국 네이버에서 신분 세탁해서 역적질 가능하다
34,2021-01-03 ,수정 업중국의 수출 증가가 한국에 미치는 긍정적 효과가 감소하고 있다
35,2021-01-03 ,화학이노 배터리 소송 판결 또 연기  
36,2021-01-03 ,화학 물적분할 통과 전망기업가치 하락 없다   
37,2021-01-03 ,이거뻔하지
38,2021-01-03 , 에리지솔루션  상장 이슈
39,2021-01-03 ,새해가 되면
40,2021-01-03 ,진지하게 2차전지 장기투자 하실 거면
41,2021-01-03 ,올해는 100만원 넘어설듯 합니다
42,2021-01-03 ,니들은 현대에 찍혔다
43,2021-01-03 ,화학에서 전고체 배터리에 전력을 다하고 있음
44,2021-01-03 ,이번 모건 컨퍼런스
45,2021-01-03 ,현대차가 전고체 개발 집중하는 이유를 모르지
46,2021-01-03 ,화학  방  이에요
47,2021-01-04 ,어자피  악재도 아니다
48,2021-01-04 ,화학 직무직썰     
49,2021-01-04 ,전고체같은 소리하고있네
50,2021-01-04 ,니들은 앞으로 현차에서 제외야
51,2021-01-04 ,니들이 사장이면
