,Date,Title
0,2021-01-01 ,팔아서 후회중
1,2021-01-01 ,떡국나눔행사 개최
2,2021-01-02 ,올해도 결국 실적뽑네 이노무 회사 ㅋㅋㅋ
3,2021-01-02 ,긴급 레버리지10배15배 고수익 재테크 실체
4,2021-01-04 ,인플레 수혜주라서
6,2021-01-04 ,엉덩이 너무 무거운거 아닙니까
7,2021-01-04 ,은값 오르는데 왜 흐르냐 ㅋㅋㅋ
8,2021-01-04 ,4분기실적이
9,2021-01-04 ,6개월만에 포기
10,2021-01-04 ,주가지수3000포인트 확실하다
11,2021-01-04 ,솔찍히 환율때매 수출이 안좋아진다
12,2021-01-04 ,얘기가 맞나 모르겠는데
13,2021-01-04 ,금은아연납구리 죄다 폭등중인데
14,2021-01-04 ,대단한놈임
15,2021-01-04 ,한솔제지 고려아연
16,2021-01-04 ,축하합니다
17,2021-01-05 ,1월5일 00시 원자재 값이 많이 오르네요
18,2021-01-05 , 
19,2021-01-05 ,원자재 추세는 길지
20,2021-01-05 ,얼마보시나요
21,2021-01-05 ,얘 갑자기 왜이럼
23,2021-01-05 ,오랜  침묵을  깨고
24,2021-01-05 ,갑자기 세력 들어왔네요
25,2021-01-05 ,역시 갈 타이밍이었어 ㅋㅋ
26,2021-01-05 ,내눈이 똥눈은 아닌듯
27,2021-01-05 ,아는 종목에 투자하는 것이 제일 안전하다는
28,2021-01-05 ,토론방 진짜 웃기네
29,2021-01-05 ,이것도 철도테마주아닌가
30,2021-01-05 ,늦었다싶었는데
32,2021-01-05 ,40에 들어온 사람인데
33,2021-01-05 ,원자재는 한번 상승하면 추세가 3년
34,2021-01-05 ,아연이 오늘 상한가 갔네
35,2021-01-05 ,팔고나면  후회  하고
36,2021-01-05 ,배당도 챙겼고 익절하고 갑니다
37,2021-01-05 ,영풍정밀 관계사 저가매수기회
38,2021-01-05 ,37층에 사서 오래 기다렸다 
39,2021-01-05 ,토론방에 그분 기억하시는 분
40,2021-01-05 ,아연아  아연아 아연아
41,2021-01-05 ,12프로 수익실현완료
42,2021-01-05 ,고려아연 감사
43,2021-01-05 ,사람마음 참 간사해요 
44,2021-01-05 ,왜 오른지 알면 안 팔텐데
45,2021-01-05 ,이런게 너무좋지 신용등급  짜리라
46,2021-01-05 ,매도 금지 긴급발동
47,2021-01-05 ,원자재 상승 폐기물 처리장
48,2021-01-05 ,내 주식 돌리도
49,2021-01-05 ,전량매도
50,2021-01-05 ,삭제된 게시물의 답글억 435에 팔았는데
51,2021-01-05 ,억 435에 팔았는데
52,2021-01-05 ,아싸아
53,2021-01-05 ,오  예
54,2021-01-05 ,기다린 보람이 
55,2021-01-05 ,빠져나갑니다 여러분
56,2021-01-05 ,아연이 돌았니 
57,2021-01-05 ,영풍정밀 관계사 저가매수기회 
58,2021-01-05 ,수익내고 나갑니다
59,2021-01-05 ,아연이 우리 아연이 우쭈쭈
60,2021-01-05 ,머선129
61,2021-01-05 ,아 나갈까말까 고민  더오를거 같은데
62,2021-01-05 ,궁딩이 팡팡 아연이
63,2021-01-05 ,아연이 미친거니 외인이 미친거니
64,2021-01-05 ,목표가 65만원
65,2021-01-05 ,오늘 분위기 별로예요
