,Date,Title
0,2021-01-01 ,주주님들 물들어 올때 노를 저어 봅니다
1,2021-01-01 ,공매도에대해
2,2021-01-01 ,2021년
3,2021-01-01 ,신주권 매수
4,2021-01-02 ,올해는 전기차 패러다임
6,2021-01-01 ,신주인수권 매수하면
7,2021-01-01 ,인쟈 주린이들 헛짓거리하는 질문
8,2021-01-02 ,신주인수권 금액
9,2021-01-02 ,얘는      
10,2021-01-02 ,우리사주
11,2021-01-02 ,똥파리들 극성거리네요
12,2021-01-02 ,새해가되서 개들이 짖어도 2020년 기관 순매수9위
13,2021-01-02 ,2021년 주식시장 개장을 기다리며
14,2021-01-02 ,니 머릿속에 있자너
15,2021-01-02 ,질문
16,2021-01-02 ,청약관련 질문요
17,2021-01-02 ,삭제된 게시물의 답글찬티밖에 없네 연락기다린다
19,2021-01-02 ,삭제된 게시물의 답글나 20만
20,2021-01-02 ,전문가 상담 필독
21,2021-01-03 ,삭제된 게시물의 답글손쓸 시간도 없이 순식간에
22,2021-01-03 ,이거사고 싶은데
23,2021-01-03 ,개미장군
24,2021-01-03 ,신주상장예정일이 23일이던데
25,2021-01-03 ,배당
26,2021-01-03 ,기술적분석 끝
27,2021-01-03 ,금융문맹인 내가 주식으로 전 재산을 잃는 과정
28,2021-01-03 ,단독 주린이 삼성로 몰리나현대차 배터리 공급후보 
29,2021-01-03 ,찬티 안티 넘 많네
30,2021-01-04 ,포케 내년에는 20만원보일거같은데
31,2021-01-04 ,장투주린쓰나마나한 기사ㅋ펌
32,2021-01-04 ,포케
33,2021-01-04 ,금일 10시부터 장시작
34,2021-01-04 ,포케주주님과 임직원님들
35,2021-01-04 ,목표가 30만원
36,2021-01-04 ,롯데케미칼 음극제양극제 시장 진출
37,2021-01-04 ,신주인수권 넘비싸
38,2021-01-04 ,움직이네 ㅋ
39,2021-01-04 ,가는거냐
40,2021-01-04 ,신주가 6인가요
41,2021-01-04 ,이노랑 먼가 있는거 같은데
42,2021-01-04 ,굿럭
43,2021-01-04 ,예상대로 새해 첫날 강세
44,2021-01-04 ,이제 11만윈
45,2021-01-04 ,신주인수권 사는거 현황 어디서
46,2021-01-04 ,눌렸던 스프링 튕깁니다
47,2021-01-04 ,개떡상이네
48,2021-01-04 ,역시 20일선 올라올때까지
49,2021-01-04 ,이제10만못본다고
50,2021-01-04 ,내가말했잖아 10만 몬본다고
51,2021-01-04 ,아니 신주인수권 인수현황
52,2021-01-04 ,신주인수권 매도
53,2021-01-04 ,신한 프매도 삼만주 이상
54,2021-01-04 ,포케 투자 29일째
55,2021-01-04 ,신주 어떻게 사나요
56,2021-01-04 ,본주는 5 상승인데 신주인수권은 13 상승중
57,2021-01-04 ,성장주는 지금이 제일싸다
58,2021-01-04 ,이게 제일 아깝네
59,2021-01-04 ,개미들은 팔아라 ㅋㅋㅋㄱ
60,2021-01-04 ,코스피개관들 개미에게 혼쭐 ㅋ
61,2021-01-04 ,12만 안착은 쉽게
62,2021-01-04 ,털고나갑니다
63,2021-01-04 ,신주
64,2021-01-04 ,연기금 50000주 들어왔다 
65,2021-01-04 ,흐름좋으니 진득 기다리삼
66,2021-01-04 ,형님들 내가 주가 흐름이 심상치 않다 했잖아
67,2021-01-04 ,신주권
68,2021-01-04 ,예언 적중
69,2021-01-04 ,포케는
70,2021-01-04 ,연기금 오만주 매수
71,2021-01-04 ,현재수익률 42퍼
72,2021-01-04 ,엘앤에프는 탄력적으로 움직이는데 갑자기 지수 상승인데 안오른다
73,2021-01-04 ,날라가네융  선배님들 주린이 입니다
74,2021-01-04 ,2021년 포케 동지분들
75,2021-01-04 ,오늘 자리 축하 드립니다
76,2021-01-04 ,평단 5만7천 3억
77,2021-01-04 ,20만 가즈아
78,2021-01-04 ,조금 산건 마니가요거참 신기하네
79,2021-01-04 ,목표가 수정
81,2021-01-04 ,시발가즈아
82,2021-01-04 ,신한 어쩔까나
83,2021-01-04 ,포케  머선일이고
84,2021-01-04 ,지금이라도 늦지않았음 지금이라도 타면됨 날아라
85,2021-01-04 ,오늘 더이상 안오르는게 좋다
86,2021-01-04 ,무슨 일이고
87,2021-01-04 ,신주인수권 배정받고 청약신청때 줄이면
88,2021-01-04 ,안티가 아닌 바퀴벌레 님들 고맙소
89,2021-01-04 ,날라간다 머선일이노 ㅋ
90,2021-01-04 ,찍고 쭉쭉좀 가지 또 내려올려고 폼잡냐
91,2021-01-04 ,지금 타기엔 늦었을까여 
92,2021-01-04 ,내가말했다 내말은 곧 진리지
93,2021-01-04 ,외인 기관 매수세가
94,2021-01-04 ,노빠꾸 노 브레이크
95,2021-01-04 ,워워 천천히 갑시다
96,2021-01-04 ,계속 홀딩입니다ㅋ
97,2021-01-04 ,해외에 갖고 있는 광산이 얼마짜리인가요
98,2021-01-04 ,인수권 가격112500원
99,2021-01-04 ,워매 이러다 유증가 올라가늘 거 아닌가요
100,2021-01-04 ,20만은 가겠네요 최소
101,2021-01-04 ,한꺼번에
102,2021-01-04 ,손떨려
103,2021-01-04 ,포케 입성했습니다
104,2021-01-04 ,유증가 올라갈 확률 발생
105,2021-01-04 ,살앙해요
106,2021-01-04 ,신주인수권 높아서요
107,2021-01-04 ,역시
108,2021-01-04 ,또 뭐선일 있나
109,2021-01-04 ,와4개월 기다리니
110,2021-01-04 ,음 신주인수권은 상한가 없나
111,2021-01-04 ,신주인수권은 상한이 없나요 
112,2021-01-04 ,시원하게 오늘 상말자
113,2021-01-04 ,헐
114,2021-01-04 ,진짜 미쳤다
115,2021-01-04 ,상한가도 보겠네요
116,2021-01-04 ,포케여 가자
117,2021-01-04 ,아
118,2021-01-04 ,가자
119,2021-01-04 ,잠깐만
120,2021-01-04 ,이거 왜 오른것인가요
121,2021-01-04 ,지금 들어가도 될까요
122,2021-01-04 ,신주권우와
123,2021-01-04 ,가즈아
124,2021-01-04 ,12매도 안녕히계세요
125,2021-01-04 ,좀 시원하게 가자 새기들아
126,2021-01-04 ,얘 
127,2021-01-04 ,아이고 저번주에 샀는대
128,2021-01-04 ,음그새 신주인수권 50프로상승
129,2021-01-04 ,난리났네 난리났어
130,2021-01-04 ,포스코 케미칼사령관님의 지휘덕분에 감사합니다
131,2021-01-04 ,털릴놈은 털린다
132,2021-01-04 ,신주인수권은 상한가가 없군요 ㅋ
133,2021-01-04 , 그만좀 하자
134,2021-01-04 ,조금 올랐다고 그새 파는 개미들
135,2021-01-04 ,아직은 픽션입니다만
136,2021-01-04 ,123000 
137,2021-01-04 ,권리락에 92000에 줍줍한게 와우
138,2021-01-04 ,뭐 종가는 6수준으로 
139,2021-01-04 ,왜파냐  딱봐도 터는거같은데
140,2021-01-04 ,고점에 물렸다
141,2021-01-04 ,이런 미르스띤
142,2021-01-04 ,삼화전기
143,2021-01-04 ,어어어 하다가 20만원와요 포케 중장기 가치주
144,2021-01-04 ,보유자 홀딩 단타도 홀딩 15간다
145,2021-01-04 ,사면 물리네
146,2021-01-04 ,코스피외인 순매수 전환
147,2021-01-04 ,제가 포스코케미칼 6 을
148,2021-01-04 ,또 광고쟁이들 몰려오네
149,2021-01-04 ,오늘 여기서만 끝나도 대박이다
150,2021-01-04 ,아흑 고만올라 천천히 가쟈 포케야
151,2021-01-04 ,오후에 상한가 간다
152,2021-01-04 ,게이들아 유증 가격 보고 정ㅅㄴ차려
153,2021-01-04 ,신주인수권문의
154,2021-01-04 ,오늘 왜이런거예요
155,2021-01-04 ,자고일어났는데
156,2021-01-04 ,포스코 양극재 공장 소재 공단 대개발
157,2021-01-04 ,키움에서 포케 유증예약은 언제부터되나요
158,2021-01-04 ,유증확정가는  언제인가요
159,2021-01-04 ,키움에서 포스코케미칼 6 매도 방법
160,2021-01-04 ,신주인수권
161,2021-01-04 ,광고충새키들 
162,2021-01-04 ,빼지마
163,2021-01-04 ,이거
164,2021-01-04 ,포스코케미칼 신주권 지금사도 가격싸네요 ㅋㅋ
165,2021-01-04 ,불기둥
166,2021-01-04 ,2만주씩 쓸어담네 ㅋㅋㅋㅋ
167,2021-01-04 ,평단 8만 5천원인데
168,2021-01-04 ,꼼짝마
169,2021-01-04 ,가즈아 가즈아 영차 영차
170,2021-01-04 ,개잡주
171,2021-01-04 ,와 내일기대된다 오늘 다쓸어담네 ㅋㅋㅋㅋ
172,2021-01-04 ,103000원 2392주 주주입니다
173,2021-01-04 ,유증가격
174,2021-01-04 ,한방에 프매수 이만여주
176,2021-01-04 ,역시 신주인수권 거래도 꿀이네
177,2021-01-04 ,유증이 악재라고 지롤 떨던 넘들 ㅋㅋㅋ
178,2021-01-04 ,11층 공사 끝나갑니다
179,2021-01-04 ,포케 만세다
180,2021-01-04 ,로또 당첨
181,2021-01-04 ,삭제된 게시물의 답글포케
182,2021-01-04 ,포케지키미  
183,2021-01-04 ,6 장사로 50퍼 먹고 나간다 ㅅㄱ
184,2021-01-04 ,4천만원 아리가또고자이마스
185,2021-01-04 ,금일 매동
186,2021-01-04 ,ㅈㄴ 든든하다
187,2021-01-04 ,본주도 털리고ㅎㅎ
188,2021-01-04 ,신주인수권 개털린 개미들 ㅋ
189,2021-01-04 ,유증확정가 얼마나 될까요
190,2021-01-04 ,유상증자 관련 질문
191,2021-01-04 ,포스코 그룹 미래먹거리는 포케 양극재 음극재 소재로
192,2021-01-04 ,유상청약 관련 질문 주린이
193,2021-01-04 ,신주권 발행으로 유상증자하면 하따 맞는거아니냐
194,2021-01-04 ,계산좀
195,2021-01-04 ,주린입니다 신고가 맞나요
196,2021-01-04 ,형님들 궁금합니다 꼭 알려주세여
197,2021-01-04 ,집 나간 똥강아지를 찾습니다
198,2021-01-04 , 20만원을 향해  순항중
199,2021-01-04 ,저는 왜 신주인수권 6인지 안 뜨죠
200,2021-01-04 ,30만 찍는다
202,2021-01-04 ,혹시 신주인수권 다들 얼마에 파셨나요 
203,2021-01-04 ,신주인수권 사두니 장투되니 좋다 ㅋㅋ
204,2021-01-04 ,2002년 월드컵 열기가 2020 증시로
205,2021-01-04 ,오늘 입성했습니다
206,2021-01-04 ,오늘 갑자기 신주권과 가격차가 벌어졌는디
208,2021-01-04 ,켁켁육공이를 찾습니다
209,2021-01-04 ,내일 급등 한다면 완전 자리 잡을수 있는 주가네요
210,2021-01-04 ,이제는 무리인 것 같아요
211,2021-01-04 ,우리 포케주주분들 새해 복 많이 받으세요
212,2021-01-04 ,맨날 고점이야기 지겹다
213,2021-01-04 ,포케 주주분들
214,2021-01-04 ,장투주린먹이사슬 정점에 포케가
215,2021-01-04 ,신주인수권  40 상승
216,2021-01-04 ,포스코케미칼6
217,2021-01-04 ,포스코케미칼 6
218,2021-01-04 ,삭제된 게시물의 답글포스코케미칼6 들어와있던데 예수금 넣어두면 알아서 신주 사지는건가요
219,2021-01-04 ,주주방 별거 없습니다
220,2021-01-04 ,삭제된 게시물의 답글1월 8일까지는 13만원 안쪽에서 놀듯
