,일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
0,2021/01/04,671000,43000,6.85,660000,682000,640000,694737,460597285668,46140999630000,68764530
1,2021/01/05,686000,15000,2.24,675000,686000,658000,601692,403850137943,47172467580000,68764530
2,2021/01/06,680000,-6000,-0.87,693000,702000,671000,669150,457568981000,46759880400000,68764530
3,2021/01/07,698000,18000,2.65,688000,712000,676000,756799,526297188000,47997641940000,68764530
4,2021/01/08,739000,41000,5.87,710000,739000,705000,890113,643077420000,50816987670000,68764530
5,2021/01/11,730000,-9000,-1.22,750000,773000,717000,1010964,753069457000,50198106900000,68764530
6,2021/01/12,745000,15000,2.05,731000,749000,703000,944536,688480420000,51229574850000,68764530
7,2021/01/13,754000,9000,1.21,738000,759000,735000,576057,430930342000,51848455620000,68764530
8,2021/01/14,749000,-5000,-0.66,751000,768000,746000,531618,400925816000,51504632970000,68764530
9,2021/01/15,737000,-12000,-1.6,756000,764000,736000,532859,397088193000,50679458610000,68764530
10,2021/01/18,706000,-31000,-4.21,715000,729000,705000,644139,460147875000,48547758180000,68764530
11,2021/01/19,732000,26000,3.68,706000,735000,705000,430480,310855845000,50335635960000,68764530
12,2021/01/20,744000,12000,1.64,753000,753000,724000,419120,308990071000,51160810320000,68764530
13,2021/01/21,745000,1000,0.13,755000,756000,738000,377379,280585137000,51229574850000,68764530
14,2021/01/22,792000,47000,6.31,751000,809000,745000,973969,755619053000,54461507760000,68764530
15,2021/01/25,790000,-2000,-0.25,797000,797000,780000,386549,304916639000,54323978700000,68764530
16,2021/01/26,790000,0,0.0,795000,816000,783000,472724,375782100000,54323978700000,68764530
17,2021/01/27,789000,-1000,-0.13,797000,813000,786000,474277,377135207500,54255214170000,68764530
18,2021/01/28,767000,-22000,-2.79,765000,773000,743000,751481,572491556000,52742394510000,68764530
19,2021/01/29,734000,-33000,-4.3,768000,770000,727000,764317,570612131000,50473165020000,68764530
20,2021/02/01,745000,11000,1.5,730000,747000,719000,438114,322721394360,51229574850000,68764530
21,2021/02/02,752000,7000,0.94,764000,764000,741000,396348,297433618000,51710926560000,68764530
22,2021/02/03,758000,6000,0.8,758000,763000,747000,346901,261704726000,52123513740000,68764530
23,2021/02/04,747000,-11000,-1.45,758000,765000,742000,365398,274407341240,51367103910000,68764530
24,2021/02/05,775000,28000,3.75,751000,778000,749000,462993,353542174000,53292510750000,68764530
25,2021/02/08,770000,-5000,-0.65,773000,782000,766000,327449,253853416000,52948688100000,68764530
26,2021/02/09,772000,2000,0.26,778000,784000,771000,214890,166659590000,53086217160000,68764530
27,2021/02/10,783000,11000,1.42,775000,783000,762000,296151,229847954000,53842626990000,68764530
28,2021/02/15,805000,22000,2.81,806000,813000,794000,425235,341580122000,55355446650000,68764530
29,2021/02/16,803000,-2000,-0.25,806000,807000,800000,218198,175206715000,55217917590000,68764530
30,2021/02/17,805000,2000,0.25,817000,818000,800000,319814,257716854000,55355446650000,68764530
31,2021/02/18,789000,-16000,-1.99,801000,804000,789000,252259,200714712000,54255214170000,68764530
32,2021/02/19,770000,-19000,-2.41,788000,788000,762000,420868,324852539000,52948688100000,68764530
33,2021/02/22,739000,-31000,-4.03,773000,773000,735000,504042,376389665192,50816987670000,68764530
34,2021/02/23,710000,-29000,-3.92,723000,726000,703000,610943,434333705000,48822816300000,68764530
35,2021/02/24,687000,-23000,-3.24,702000,719000,687000,556519,391209092000,47241232110000,68764530
36,2021/02/25,704000,17000,2.47,704000,709000,692000,445534,311999803000,48410229120000,68764530
37,2021/02/26,674000,-30000,-4.26,683000,686000,668000,579115,391065766000,46347293220000,68764530
38,2021/03/02,684000,10000,1.48,696000,709000,675000,579401,401846868832,47034938520000,68764530
39,2021/03/03,696000,12000,1.75,687000,696000,678000,309191,212912982000,47860112880000,68764530
40,2021/03/04,678000,-18000,-2.59,681000,691000,672000,370526,252091842000,46622351340000,68764530
41,2021/03/05,671000,-7000,-1.03,658000,682000,654000,430233,286291837000,46140999630000,68764530
42,2021/03/08,650000,-21000,-3.13,673000,675000,650000,366129,241362323000,44696944500000,68764530
43,2021/03/09,636000,-14000,-2.15,639000,649000,613000,678006,426225809000,43734241080000,68764530
44,2021/03/10,636000,0,0.0,666000,667000,636000,458534,297523394000,43734241080000,68764530
45,2021/03/11,687000,51000,8.02,649000,690000,643000,709286,480181069000,47241232110000,68764530
46,2021/03/12,689000,2000,0.29,704000,710000,683000,410178,284358628000,47378761170000,68764530
47,2021/03/15,686000,-3000,-0.44,689000,703000,681000,279236,192492626000,47172467580000,68764530
48,2021/03/16,680000,-6000,-0.87,695000,702000,667000,499953,338635527000,46759880400000,68764530
49,2021/03/17,639000,-41000,-6.03,680000,680000,631000,863521,558798682378,43940534670000,68764530
50,2021/03/18,662000,23000,3.6,655000,669000,653000,533133,352353543680,45522118860000,68764530
51,2021/03/19,661000,-1000,-0.15,645000,661000,642000,323839,211073296716,45453354330000,68764530
52,2021/03/22,642000,-19000,-2.87,661000,662000,639000,386142,249380439000,44146828260000,68764530
53,2021/03/23,624000,-18000,-2.8,650000,651000,624000,391488,248299067000,42909066720000,68764530
54,2021/03/24,635000,11000,1.76,620000,642000,619000,359788,227544309000,43665476550000,68764530
55,2021/03/25,635000,0,0.0,636000,647000,631000,311449,198344464580,43665476550000,68764530
56,2021/03/26,647000,12000,1.89,640000,649000,628000,316869,202414012000,44490650910000,68764530
57,2021/03/29,651000,4000,0.62,651000,660000,639000,278530,181365397000,44765709030000,68764530
58,2021/03/30,670000,19000,2.92,654000,672000,649000,333388,221653888000,46072235100000,68764530
59,2021/03/31,660000,-10000,-1.49,675000,676000,660000,318665,212227290000,45384589800000,68764530
60,2021/04/01,667000,7000,1.06,670000,673000,660000,250062,166688317460,45865941510000,68764530
61,2021/04/02,668000,1000,0.15,668000,672000,665000,233457,156092153230,45934706040000,68764530
62,2021/04/05,655000,-13000,-1.95,665000,666000,650000,255627,167371277000,45040767150000,68764530
63,2021/04/06,642000,-13000,-1.98,659000,660000,639000,322234,208068839000,44146828260000,68764530
64,2021/04/07,654000,12000,1.87,652000,671000,646000,449552,296232088000,44972002620000,68764530
65,2021/04/08,657000,3000,0.46,662000,662000,652000,258806,169805258000,45178296210000,68764530
66,2021/04/09,663000,6000,0.91,661000,673000,659000,327636,218367387000,45590883390000,68764530
67,2021/04/12,655000,-8000,-1.21,673000,673000,651000,341245,224854532500,45040767150000,68764530
68,2021/04/13,690000,35000,5.34,665000,697000,663000,908436,621715610018,47447525700000,68764530
69,2021/04/14,697000,7000,1.01,700000,705000,685000,489847,340662954000,47928877410000,68764530
70,2021/04/15,700000,3000,0.43,697000,702000,688000,361247,250798363232,48135171000000,68764530
