,일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
0,2021/01/04,118000,14000,13.46,105000,123500,102500,2122467,241249425500,7196609960000,60988220
1,2021/01/05,124000,6000,5.08,118000,127000,115000,1374593,168055601500,7562539280000,60988220
2,2021/01/06,128500,4500,3.63,125000,132500,121500,1438904,183157371500,7836986270000,60988220
3,2021/01/07,129000,500,0.39,130500,131500,126500,681410,88530835000,7867480380000,60988220
4,2021/01/08,130500,1500,1.16,133000,133000,129000,716215,93604349500,7958962710000,60988220
5,2021/01/11,127500,-3000,-2.3,130500,136000,124500,1148480,149411969500,7775998050000,60988220
6,2021/01/12,127500,0,0.0,124500,128500,121000,641264,80106219500,7775998050000,60988220
7,2021/01/13,125500,-2000,-1.57,128000,129500,125000,383687,48660132500,7654021610000,60988220
8,2021/01/14,131500,6000,4.78,125500,133000,125500,554272,71921248500,8019950930000,60988220
9,2021/01/15,129000,-2500,-1.9,132000,133500,127000,434194,56111899500,7867480380000,60988220
10,2021/01/18,123500,-5500,-4.26,127000,128000,122000,597673,74465296000,7532045170000,60988220
11,2021/01/19,128000,4500,3.64,124000,129000,123500,350733,44387519500,7806492160000,60988220
12,2021/01/20,132500,4500,3.52,129500,132500,127000,495695,64468175500,8080939150000,60988220
13,2021/01/21,132000,-500,-0.38,135000,135000,129500,382591,50293480500,8050445040000,60988220
14,2021/01/22,139500,7500,5.68,132000,147500,130000,1337627,187565322500,8507856690000,60988220
15,2021/01/25,140000,500,0.36,139500,143000,137500,396435,55546071000,8538350800000,60988220
16,2021/01/26,138500,-1500,-1.07,141000,141000,137000,316795,43784567500,8446868470000,60988220
17,2021/01/27,142000,3500,2.53,139000,144500,138500,462991,65421453500,8660327240000,60988220
18,2021/01/28,140000,-2000,-1.41,137500,140000,136000,462130,63833628000,8538350800000,60988220
19,2021/01/29,134500,-5500,-3.93,142500,143000,132000,500169,68188887000,8202915590000,60988220
20,2021/02/01,134500,0,0.0,132000,135500,130500,562695,74990628500,8202915590000,60988220
21,2021/02/02,135000,500,0.37,136500,138000,133000,453225,61287665000,8233409700000,60988220
22,2021/02/03,140000,5000,3.7,135000,140000,135000,739939,101211676500,10844850800000,77463220
23,2021/02/04,136000,-4000,-2.86,139000,140500,135000,441856,60514615000,10534997920000,77463220
