날짜,제목,글쓴이,조회,공감,비공감
2022.07.03 00:18,7월달은 ?,phbb****,19,0,0
2022.07.03 00:06,하반기 주식시장이 상승할 것이라고 보는 명확한 근거,psk5****,30,0,0
2022.07.02 20:12,포케는 대기업이라 볼수  없음,sayk****,81,0,0
2022.07.03 00:31,포케는 대기업이라 볼수  없음,hana****,7,0,0
2022.07.02 13:40,100% 손절을 못하면 30% 라도 손절해야,rkrk****,232,3,8
2022.07.02 09:28,포케 2분기 실적 어찌될까요,rara****,250,1,2
2022.07.02 02:52,여러분 힘듭니까? 개롭습니까?,zeni****,346,2,0
2022.07.01 20:02,아 진짜  왜 이래 ,cjsg****,464,10,2
2022.07.01 19:14,8만원오면 쪼금 살의양잇음 ,lees****,378,2,2
2022.07.01 19:10,포스코케미칼 세종공장 증설,chu1****,575,7,3
2022.07.01 18:23,Per  55배??,a923****,379,0,5
2022.07.01 17:34,좋은 주식인가?,db00****,341,5,0
2022.07.01 17:33,시간외 폭등중이네 ㄷㄷㄷ 뭔일있나 ㄷㄷㄷ,dafu****,375,0,4
2022.07.01 17:00,18만원 평단인데 이게뭔일임,netm****,566,4,1
2022.07.01 15:52,정말 ,akdm****,243,1,0
2022.07.01 15:45,포케는 한숨이다.,sayk****,275,6,0
2022.07.01 15:38,정말 피눈물 난다 ㅠㅠ,akfr****,399,7,0
2022.07.01 15:19,다행히 오늘은 어제보다 선방하네요,1pro****,237,3,0
2022.07.01 14:51,결국은 우상향 상승이다.,dafu****,446,0,5
2022.07.01 17:28,네가 욕먹는 이유,db00****,314,1,1
2022.07.01 14:24,그만해라!!!,gang****,176,0,0
2022.07.01 14:13,ㅅㅂ..무정부상태네..,dalr****,304,13,4
2022.07.01 12:57,10층 주우시고 다음주 오릅니다,jhz_****,305,2,3
2022.07.01 12:18,[삭제된 게시물의 답글]●104500 미수몰빵 오후급등 담주폭등 확실,khan****,422,1,0
2022.07.01 10:54,빙하기,33ha****,216,0,0
2022.07.01 10:53,103500 에 8천만원 잡았다,jdhl****,552,2,2
2022.07.01 14:19,103500 에 8천만원 잡았다면?,db00****,337,0,0
2022.07.01 10:51,★포스코케미칼 주가 전망,adsy****,355,0,0
2022.07.01 10:40,OOO아,koun****,210,0,0
2022.07.01 10:16,인생 참,hhjk****,201,0,0
2022.07.01 10:16,오늘 폭등의스멜이난다,dong****,267,1,3
2022.07.01 10:07,3초만에 전소되는 차량 타고싶나?,kk60****,198,0,1
2022.07.01 10:06,장난이 심하네,cybe****,163,0,0
2022.07.01 10:05,사면,an10****,154,0,0
2022.07.01 10:01,개미 또 달라 붙었다,nalb****,262,1,1
2022.07.01 09:59,예전 유상증자가격이,zamj****,455,1,0
2022.07.01 09:57,유럽,hsc1****,153,0,0
2022.07.01 09:32,조만간 8만 간다.,dafu****,261,1,2
2022.07.01 09:29,갑자기 심텍 생각나네..,rara****,194,0,0
2022.07.01 09:29,그냥 기둘려,db00****,167,0,1
2022.07.01 09:28,뺄꺼면 8만까지한꺼번에빼라,mrks****,145,0,0
2022.07.01 09:25,9만원지킬지 의문이네,js_0****,303,2,1
2022.07.01 09:22,10만원 지킨다 가자,rara****,264,1,0
2022.07.01 09:20,이젠 끝인가요?,itay****,204,0,0
