날짜,제목,글쓴이,조회,공감,비공감
2022.06.27 23:54,동전주는 하루살이다,rnlt****,19,0,2
2022.06.27 23:40,맨징이다,i188****,22,0,0
2022.06.27 22:49,"주식이 쉽다면 다부자됐겠지
				[1]",puzz****,182,3,1
2022.06.27 22:37,메타랩스주주여 참조,kkkk****,86,1,1
2022.06.27 22:34,○ 모제림으로 바라본 '메타랩스' 성장성...,vksr****,137,1,0
2022.06.27 22:03,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ...
				[2]",kimd****,159,0,1
2022.06.27 21:58,"매출 ㄷㄷ
				[3]",junt****,252,1,4
2022.06.27 21:57,650원 ㅋ,0119****,67,0,0
2022.06.27 21:56,600원 짜리를 400원 짜리로 만들거냐...,na11****,84,0,0
2022.06.27 21:32,"상황까는 30%인대
				[5]",daeh****,279,2,2
2022.06.27 21:26,"아닥.
				[3]",lo89****,229,1,1
2022.06.27 20:40,"내일은 이변이없는한 쩜상한가 예상~~~
				[1]",cont****,327,7,2
2022.06.27 20:30,"오늘장마감하고 3자배정 150억 공시
				[2]",mkln****,530,4,0
2022.06.27 20:05,"ㅋㅋㅋ
				[2]",seoh****,185,0,4
2022.06.27 19:01,"쩜상만 최소4번은가것다 현대사료급이네
				[1]",haff****,613,7,1
2022.06.27 18:55,"오늘 물린놈들
				[2]",bn73****,370,2,5
2022.06.27 18:50,"러시아 디폴트 축하드립니다!
				[3]",intr****,515,1,5
2022.06.27 18:40,"시총 600억짜리 동전주
				[1]",thlw****,359,2,1
2022.06.27 18:33,"ㅋㅋㅋㅋㅋㅋ
				[2]",fuck****,455,2,2
2022.06.27 18:19,리딩업체 문자나 톡 최근 영업 수법 조심...,inga****,142,2,0
2022.06.27 18:18,"상한가 처도...
				[3]",2004****,458,3,0
2022.06.27 18:12,이제 사고싶어도 못사는 주식^^  가진자...,tls1****,224,2,1
2022.06.27 17:48,"세력한테 들은건데 시총 1조가 목표랍니다
				[2]",jhj9****,556,4,5
2022.06.27 17:45,아 지릴거같다.... 450억... 헤응,lsh4****,235,4,2
2022.06.27 17:39,"주린입니다. 고수님들 제3자 유증 호재인...
				[4]",napo****,563,3,0
2022.06.27 17:47,"주린입니다. 고수님들 제3자 유증 호재인...
				[1]",cvek****,274,5,0
2022.06.27 17:28,"대동단결인가요?????
				[1]",newa****,390,2,2
2022.06.27 17:25,"연상
				[3]",anyc****,395,2,3
2022.06.27 17:24,털린넘들은,9297****,169,2,2
2022.06.27 17:14,"곤드레만드레 내일부터 꼴아박는다.
				[3]",dksq****,297,2,3
2022.06.27 16:57,안팔길 잘했네 ㅋㅋㅋ,feel****,176,4,0
2022.06.27 16:54,"한개도 기쁘지가 않다
				[2]",puzz****,541,8,4
2022.06.27 16:53,Gs글로벌 시외상,hjs1****,183,2,2
2022.06.27 16:47,또 유증!!!!!!!!!,atom****,220,2,1
2022.06.27 16:46,오늘 판 호구들 잘봐라,echo****,330,8,1
2022.06.27 16:43,"ㅅ ㅂ 사고싶어도 못사
				[1]",echo****,371,5,0
2022.06.27 16:33,가공 허위배정인지 확인해보자!,firs****,205,1,2
2022.06.27 16:31,또 150억? 3자배정?,form****,253,3,0
2022.06.27 16:14,"상한가 1번은  몇십번 묵어봤으. 3연상...
				[2]",imyc****,510,5,0
2022.06.27 16:03,"여기  재료 뭐야?
				[4]",hun8****,508,2,1
