날짜,제목,글쓴이,조회,공감,비공감
2022.06.28 00:15,▶▶[M&A뉴스]서울옥션 인수전에 글로벌...,kko9****,10,0,0
2022.06.27 22:37,"시원한 개인이
				[1]",han4****,83,1,0
2022.06.27 21:34,헐 조루제약 코스피  상승 1위먹었네,0119****,98,0,0
2022.06.27 21:08,"오늘 19% 이상해
				[4]",mgar****,297,0,0
2022.06.27 21:07,참고용,wook****,85,0,0
2022.06.27 20:55,개미털기 수법,lsb5****,98,0,0
2022.06.27 20:11,상한가 실패,ykp0****,86,0,0
2022.06.27 19:48,지금,yook****,80,0,0
2022.06.27 19:34,"다털고 다시 4780원에 10프로만 넣었...
				[1]",skey****,177,0,1
2022.06.27 19:17,"오늘 개미만 샀으니 낼은 외인 기관 들이...
				[2]",kkkk****,234,1,1
2022.06.27 19:04,"주주여러분! 낼 몇프로 예상하시나요?
				[7]",kkkk****,349,0,0
2022.06.27 18:47,이제시작일뿐,a010****,137,2,1
2022.06.27 18:23,리딩업체 문자 톡 최근 영업 실체 절대 ...,inga****,84,0,0
2022.06.27 18:15,일단 내일 난 더 담을꺼라 내가 1%는 ...,arde****,87,0,0
2022.06.27 17:47,"시외얼마인가요?
				[3]",3507****,429,0,2
2022.06.27 16:58,"아씨.. 내가 몰빵하면 떨어지네..
				[3]",feel****,295,3,0
2022.06.27 16:47,빨리타라 시간외 뉴스 쏟아진다,broo****,265,1,1
2022.06.27 16:27,시봉 수익 15%에 팔껄,jack****,132,0,0
2022.06.27 16:26,시간외 하락 1등이네,yoon****,159,0,2
2022.06.27 16:08,시외 하한가 간다,jack****,197,1,2
2022.06.27 15:55,뭔 뉴스가 다 제각각이고,arde****,209,1,1
2022.06.27 15:33,여기서 뭐해 cmg제약이 곧 날라갈거 같...,kzs7****,198,0,0
2022.06.27 15:30,지난주 목요일에 들어왔는데 다털었다,emod****,199,1,3
2022.06.27 15:28,자사주 취득중??,arde****,159,0,0
2022.06.27 15:24,"현대약품 아직모르나??ㅋㅋㅋㅋㅋ
				[2]",skey****,453,7,1
2022.06.27 15:24,음,4bae****,110,0,0
2022.06.27 15:19,한번 방귀는 ~뽕~ 영원한방귀 낄낄낄~~...,just****,105,0,0
2022.06.27 15:15,5분도 안남았는데 못올라가면 과감히 버려...,ksj1****,171,1,0
2022.06.27 15:11,"곱게 가자
				[1]",jyo1****,157,0,0
2022.06.27 15:09,역시 피뢰침 전문,gu90****,104,0,0
2022.06.27 15:08,가는거 확정이다 무조권사라,010k****,139,0,1
2022.06.27 15:07,2% 익절,tnrf****,86,0,0
2022.06.27 15:07,10프로 마감각,dbrg****,85,0,0
2022.06.27 15:05,염붕을,pkj0****,94,0,0
2022.06.27 15:01,기본3연상 각,lesd****,189,1,0
2022.06.27 15:01,"진짜 3연상 해주라
				[1]",jyo1****,200,0,0
2022.06.27 15:01,ㅋㅋ급등하니까 글 들 지우시는거 보소..,gkeh****,102,0,0
2022.06.27 14:58,한번 방귀는 ~뽕~ 영원한방귀 낄낄낄~~...,just****,96,0,0
2022.06.27 14:57,잘먹고 갑니다^^,skey****,97,0,0
2022.06.27 14:55,낙태관련 테마 형성,rain****,157,0,1
